serial_timesteps,policy_entropy,fps,total_timesteps,time_elapsed,explained_variance,approxkl,policy_loss,value_loss,clipfrac,n_updates,ep_len_mean,ep_reward_mean
468992,5.087017,466,468992,999.9473292827606,0.8699240535497665,0.0024586397,-0.0025271934,14.326802,0.025976563,229,1479.1,965.43165124
471040,5.0749836,449,471040,1004.339935541153,0.7488448619842529,0.0063997023,-0.0049412427,9.589457,0.08022461,230,1491.64,974.1666968099998
473088,5.0680256,461,473088,1008.8957555294037,0.8020019680261612,0.0049159233,-0.0027377992,11.453287,0.053808592,231,1491.64,971.37200705
475136,5.0581574,455,475136,1013.3381950855255,0.8671136200428009,0.004290589,-0.006354101,13.073796,0.051367186,232,1492.93,973.2023202999999
477184,5.061185,483,477184,1017.8315453529358,0.8541512489318848,0.0023915567,-0.002249729,12.583577,0.025488282,233,1492.93,973.3281997599998
479232,5.0667105,473,479232,1022.0661623477936,0.7604952156543732,0.002612507,-0.004062279,22.586061,0.02236328,234,1488.31,969.5833776999998
481280,5.070609,471,481280,1026.3937485218048,0.7798651307821274,0.003594467,-0.004922848,25.809338,0.0390625,235,1463.13,950.3230027
483328,5.0725756,464,483328,1030.735942363739,0.9414554238319397,0.0032929908,-0.0046888874,6.6173797,0.037353516,236,1470.72,955.6811730499999
485376,5.075317,463,485376,1035.146458864212,0.9039696678519249,0.0027695866,-0.005075699,8.060971,0.0265625,237,1468.17,952.41803029
487424,5.0754232,482,487424,1039.567346572876,0.7855893224477768,0.0030947481,-0.0047987485,14.469301,0.033740234,238,1472.93,956.9119816699998
489472,5.074173,461,489472,1043.8161396980286,0.7738257050514221,0.0024767718,-0.0011285932,17.293476,0.028955078,239,1483.54,965.04636597
491520,5.0746336,454,491520,1048.2495925426483,0.8678654283285141,0.0023847802,-0.0031215413,14.405001,0.025830079,240,1471.58,954.6444860499998
493568,5.087484,460,493568,1052.7550349235535,0.9486948885023594,0.0022048396,-0.0021094535,5.822847,0.023632813,241,1478.72,960.27642421
495616,5.0961986,463,495616,1057.2025816440582,0.7253881394863129,0.002439206,-0.0007452757,22.150665,0.026757812,242,1472.32,953.64750017
497664,5.10054,452,497664,1061.619102716446,0.8458423018455505,0.0036397725,-0.0026081377,13.06645,0.040625,243,1483.38,961.5446945899998
