fps,serial_timesteps,policy_entropy,clipfrac,explained_variance,approxkl,n_updates,policy_loss,total_timesteps,value_loss,time_elapsed,ep_len_mean,ep_reward_mean
222,286720,3.4768634,0.029882813,0.9693441689014435,0.002650093,140,-0.0017856782,286720,2.5052087,939.8979604244232,1492.5,718.3983201300001
586,288768,3.4822853,0.031591795,0.8853622302412987,0.0028892402,141,-0.0029692156,288768,8.687072,949.113264799118,1492.5,727.6466167399999
600,290816,3.4816108,0.0039550783,0.8807380050420761,0.000606744,142,-0.0017200861,290816,11.269971,952.6049711704254,1511.17,740.1996684
576,292864,3.474938,0.020361328,0.9109258651733398,0.002170532,143,-0.0036312144,292864,6.762643,956.0161879062653,1517.91,743.4075023299999
201,294912,3.4722435,0.036621094,0.9388484470546246,0.0034254235,144,-0.005332533,294912,9.360437,959.5703523159027,1537.49,755.8148775900002
180,296960,3.462667,0.09023438,-0.03582954406738281,0.006843698,145,-0.0043004984,296960,2.8869002,969.7474718093872,1555.58,758.99359184
422,299008,3.4516876,0.011572266,0.9850202072411776,0.0016136353,146,-0.002594377,299008,2.3131623,981.1161041259766,1571.17,761.1199291200002
589,301056,3.447167,0.010009766,0.8426500260829926,0.0015982914,147,-0.00218464,301056,10.010362,985.960296869278,1571.17,762.2877416299999
571,303104,3.4451766,0.04975586,0.7888972908258438,0.0043669986,148,-0.0036598505,303104,15.275937,989.437698841095,1573.33,762.1612959099999
575,305152,3.4446137,0.036376953,0.7771588563919067,0.0033123947,149,-0.0008374293,305152,10.004589,993.0242426395416,1591.47,770.8914950899998
584,307200,3.4473827,0.015039062,0.8633680492639542,0.0016533025,150,-0.0035309575,307200,8.842863,996.5860097408295,1591.47,779.3915655799999
597,309248,3.449868,0.015478516,0.884328804910183,0.001570046,151,-0.003508636,309248,8.630943,1000.0910596847534,1609.54,790.6432195
593,311296,3.4547296,0.041748047,0.8797037675976753,0.0035622686,152,-0.0039617238,311296,7.923349,1003.518611907959,1609.54,788.97521478
591,313344,3.4562454,0.026171874,0.8621082007884979,0.002482225,153,-0.0015203139,313344,16.369068,1006.9701731204987,1610.31,791.7431728099998
583,315392,3.4533775,0.014355469,0.8224776238203049,0.0016096042,154,-0.0025273422,315392,15.925138,1010.4329018592834,1624.08,801.7436231899999
560,317440,3.4489949,0.059570312,0.7566554546356201,0.005156599,155,-0.0039452515,317440,10.728361,1013.9453942775726,1624.08,809.81935058
570,319488,3.4460354,0.021484375,0.8757043480873108,0.0022337916,156,-0.0036389772,319488,9.290163,1017.5989894866943,1595.23,790.6977459499998
266,321536,3.4384937,0.05332031,0.953241366893053,0.0043404205,157,-0.0033755891,321536,9.23171,1021.1897375583649,1595.23,788.87139612
278,323584,3.4254677,0.029589843,0.9844815554097295,0.0027967743,158,-0.002605436,323584,2.4725382,1028.8623793125153,1595.23,789.1571269499999
275,325632,3.411326,0.056591798,0.9563002437353134,0.00480145,159,-0.0054437015,325632,9.1988,1036.214106798172,1595.23,790.0064028400001
277,327680,3.4231696,0.046875,0.931920014321804,0.003895641,160,-0.004610075,327680,10.91852,1043.6617166996002,1582.34,782.1065088400001
610,329728,3.4303627,0.01977539,0.8459690660238266,0.0018432497,161,-0.0043933066,329728,8.526202,1051.0522508621216,1579.48,781.6938521899999
356,331776,3.4366379,0.038769532,0.938467588275671,0.0035557672,162,-0.0042906413,331776,12.341874,1054.4093623161316,1579.48,791.2806250599997
224,333824,3.438491,0.17368165,0.9158443212509155,0.012261519,163,-0.007920524,333824,7.0545263,1060.1512067317963,1580.34,783.3722234299998
597,335872,3.434428,0.011230469,0.8329242020845413,0.0014432903,164,-0.0013729921,335872,11.097841,1069.2569789886475,1587.89,787.3265167699999
624,337920,3.4453125,0.044189453,0.6747995316982269,0.0037106003,165,-0.0062425793,337920,15.4618,1072.6859900951385,1602.91,797.08718528
586,339968,3.4596066,0.05229492,0.8444057255983353,0.004822164,166,-0.005966533,339968,14.427322,1075.9673781394958,1592.7,795.9706382099998
601,342016,3.468851,0.022216797,0.8678173422813416,0.002224064,167,-0.0034670192,342016,7.282294,1079.4626595973969,1589.81,803.23733278
552,344064,3.472278,0.030566406,0.921217180788517,0.0027909759,168,-0.0047381045,344064,4.097333,1082.867359638214,1581.05,796.2151549300002
584,346112,3.475029,0.017919922,0.7877509891986847,0.0020896194,169,-0.0027823108,346112,11.577025,1086.5775182247162,1581.05,803.2440682600001
230,348160,3.4562829,0.039697267,0.951424490660429,0.0036839675,170,-0.0037454665,348160,10.238879,1090.0831046104431,1581.05,803.9330902400002
333,350208,3.4396827,0.04448242,0.9815020449459553,0.0038701477,171,-0.003573189,350208,3.108903,1098.9872770309448,1600.55,807.6823960200002
591,352256,3.4378476,0.021484375,0.8776426985859871,0.0022173494,172,-0.004068668,352256,10.203626,1105.125417470932,1595.02,804.7851680000001
591,354304,3.4382615,0.024072265,0.8427379280328751,0.0023643798,173,-0.0034694106,354304,13.67988,1108.5862338542938,1590.25,810.64676418
579,356352,3.44501,0.017871093,0.8501256853342056,0.001795418,174,-0.002929939,356352,11.424036,1112.0497698783875,1590.25,812.9475659999999
583,358400,3.4520066,0.055126954,0.8641267865896225,0.0045977486,175,-0.008328939,358400,9.464567,1115.581951379776,1590.25,821.7856925500001
225,360448,3.4511726,0.050439455,0.9246894121170044,0.0042206747,176,-0.0058413977,360448,13.695543,1119.091157913208,1605.86,832.0930840799998
346,362496,3.4489803,0.04345703,0.8979053720831871,0.0037851701,177,-0.006168039,362496,13.681648,1128.1791260242462,1576.87,813.2511629100002
604,364544,3.4546504,0.05571289,0.8972178101539612,0.0044995057,178,-0.007868387,364544,4.7003536,1134.0953826904297,1569.69,816.66163656
586,366592,3.4602966,0.034960937,0.7259327471256256,0.0031702179,179,-0.0018786483,366592,11.444353,1137.4849452972412,1569.69,814.9873325099999
295,368640,3.4674206,0.047314454,0.959365289658308,0.0039531873,180,-0.004440584,368640,9.086423,1140.9776449203491,1584.92,825.63996619
253,370688,3.501583,0.075,0.9780957028269768,0.0057360837,181,-0.004939888,370688,2.991177,1147.9189858436584,1587.23,818.1797189199999
573,372736,3.5165706,0.03237305,0.8754127696156502,0.0028853666,182,-0.0040793093,372736,11.193575,1156.0123541355133,1589.15,818.55119297
582,374784,3.5187182,0.032080077,0.7917207330465317,0.002635784,183,-0.0033980005,374784,10.8923435,1159.5858674049377,1606.66,827.5619770199999
293,376832,3.512401,0.042138673,0.9642117321491241,0.0036666442,184,-0.005531989,376832,8.437896,1163.1012539863586,1606.66,826.8430554999999
255,378880,3.4960117,0.05986328,0.9843685124069452,0.0049347556,185,-0.005369381,378880,3.2921512,1170.0742692947388,1606.66,817.7764132499999
597,380928,3.488269,0.011962891,0.9570214226841927,0.0014902555,186,-0.00213849,380928,3.5852923,1178.106142282486,1619.27,826.5211075799999
599,382976,3.4975116,0.0203125,0.7840609550476074,0.0022050324,187,-0.004424481,382976,15.987144,1181.5322096347809,1616.15,823.5478760299999
