approxkl,value_loss,policy_entropy,clipfrac,ep_reward_mean,time_elapsed,n_updates,total_timesteps,explained_variance,serial_timesteps,policy_loss,ep_len_mean,fps
0.004680948,28.663757,3.9011867,0.05288086,1208.10307817,2974.0577912330627,877,1796096,0.8571581989526749,1796096,-0.004983022,1538.48,566
0.0021335492,23.281734,3.9079258,0.021289062,1205.44011564,2977.6758337020874,878,1798144,0.8986187800765038,1798144,-0.0016974129,1531.53,564
0.0033712208,20.189644,3.92033,0.039648436,1210.1653012499999,2981.303451061249,879,1800192,0.8152068704366684,1800192,-0.0036964733,1531.53,543
0.0032463656,20.192692,3.9255276,0.038085938,1215.8994916,2985.0757536888123,880,1802240,0.826523944735527,1802240,-0.002258824,1531.53,554
0.0030488227,26.135868,3.9166656,0.02758789,1220.5858725199998,2988.7687306404114,881,1804288,0.8837740942835808,1804288,-0.002598048,1533.27,579
0.0034045272,5.5683246,3.9135768,0.0362793,1213.49455743,2992.3025617599487,882,1806336,0.9570979550480843,1806336,-0.0034171555,1524.79,556
0.008238903,21.738974,3.9136493,0.107910156,1219.04435151,2995.9845786094666,883,1808384,0.8513225018978119,1808384,-0.004586515,1524.79,578
0.0053215143,19.987938,3.913229,0.06914063,1228.6209993500001,2999.5277061462402,884,1810432,0.850501611828804,1810432,-0.002161463,1533.33,561
0.0048380774,19.98674,3.902717,0.05961914,1244.85576099,3003.173543691635,885,1812480,0.8566067516803741,1812480,-0.001519794,1549.94,563
0.0053019472,21.037199,3.904808,0.06391601,1245.3842472699998,3006.808584690094,886,1814528,0.8047505617141724,1814528,-0.00419572,1549.94,553
0.0031899624,19.944466,3.9095573,0.030859375,1248.1540871500001,3010.507656097412,887,1816576,0.8435399979352951,1816576,-0.0018608626,1549.94,563
0.0040795696,19.911137,3.9052136,0.05102539,1262.3902976099998,3014.142565727234,888,1818624,0.8526210337877274,1818624,-0.0023036557,1564.53,565
0.0025008111,26.965378,3.9143262,0.027441407,1258.28849143,3017.7657895088196,889,1820672,0.8737008422613144,1820672,-0.0068686744,1557.67,559
0.0026081975,20.138803,3.9202914,0.027197266,1274.84618634,3021.4294452667236,890,1822720,0.8633647561073303,1822720,-0.0031397983,1574.55,556
0.00095193053,20.358015,3.9197319,0.0063964846,1283.5910167,3025.1108169555664,891,1824768,0.8389871716499329,1824768,-0.00082292064,1583.98,551
0.006665319,20.498693,3.9186282,0.075683594,1299.16336796,3028.824851989746,892,1826816,0.8393311053514481,1826816,-0.0037732976,1600.6,560
0.0030172877,36.864876,3.910272,0.03388672,1294.04433306,3032.476678133011,893,1828864,0.8452426791191101,1828864,-0.0026321479,1588.53,574
0.0034039076,20.001797,3.909737,0.03642578,1294.24101449,3036.0407865047455,894,1830912,0.8552906364202499,1830912,-0.0036524977,1588.53,562
0.005171175,20.113369,3.890464,0.056347657,1307.99193655,3039.6830883026123,895,1832960,0.8105592876672745,1832960,-0.0026385742,1602.08,550
