approxkl,serial_timesteps,explained_variance,policy_entropy,n_updates,value_loss,fps,clipfrac,total_timesteps,policy_loss,time_elapsed,ep_reward_mean,ep_len_mean
0.0027872252,563200,0.8988504111766815,4.312396,275,27.637634,476,0.02890625,563200,-0.003368679,1237.7623138427734,943.1100013600001,1155.63
0.0033148427,565248,0.9810310900211334,4.33236,276,2.6239028,440,0.030859375,565248,-0.005509726,1242.0640971660614,943.47542979,1156.66
0.0035616432,567296,-0.3850390911102295,4.332536,277,20.059017,458,0.040966798,567296,-0.0026414525,1246.70946931839,960.5185315900001,1174.08
0.0043027434,569344,0.9441905245184898,4.33426,278,8.346689,447,0.044042967,569344,-0.0052027307,1251.1798493862152,954.90385639,1174.08
0.0019583385,571392,0.4623339772224426,4.3378553,279,20.771067,452,0.01821289,571392,-0.0046187392,1255.7548344135284,955.98513077,1174.08
0.0018599702,573440,0.9403247758746147,4.3419895,280,13.938146,465,0.015234375,573440,-0.005614908,1260.2793979644775,966.15268168,1191.19
0.002328768,575488,0.829046294093132,4.325643,281,20.8643,435,0.017333984,575488,-0.0024816482,1264.6763911247253,982.2657912700001,1206.86
0.0034903865,577536,0.8938252106308937,4.3081846,282,27.739553,470,0.038867187,577536,-0.003691087,1269.3780620098114,965.5183741500001,1189.47
0.00253719,579584,0.907075822353363,4.3122506,283,26.557003,453,0.027832031,579584,-0.0041442933,1273.7313561439514,931.4878103000001,1153.93
0.003143362,581632,0.8202767372131348,4.324341,284,20.08015,451,0.035498045,581632,-0.0023875942,1278.247124671936,949.6452262100001,1173.9
0.00449955,583680,0.7664650678634644,4.316557,285,19.52428,425,0.04736328,583680,-0.0028727937,1282.7840962409973,966.3799040199999,1190.76
0.0025091015,585728,0.9096813350915909,4.3086333,286,21.370884,454,0.022753906,585728,-0.0022791314,1287.6022136211395,967.3035217999999,1192.44
0.0028000812,587776,0.9729770068079233,4.3138146,287,6.01143,482,0.029541016,587776,-0.0031112444,1292.113310098648,953.07042744,1179.63
0.0035487108,589824,0.9019929245114326,4.318356,288,22.744284,477,0.035546876,589824,-0.0037963726,1296.3585391044617,952.20558986,1178.8
0.0037505205,591872,0.9080239236354828,4.324404,289,22.574375,447,0.04082031,591872,-0.0042965384,1300.6526508331299,934.9314050300001,1162.23
0.0031132638,593920,0.9785127192735672,4.3481493,290,3.1866856,440,0.03569336,593920,-0.0051661995,1305.230786561966,928.8189440900001,1154.86
0.0024255975,595968,0.8088211417198181,4.365606,291,20.388685,451,0.021435548,595968,-0.00066412135,1309.8815388679504,944.8864670500001,1170.55
0.002177556,598016,0.8829247877001762,4.361821,292,26.193106,462,0.016357422,598016,-0.002297986,1314.4171736240387,959.66248018,1184.6
0.0027687582,600064,0.7790695875883102,4.357115,293,21.776855,440,0.028222656,600064,-0.0026110907,1318.844084262848,960.04070639,1184.6
0.001786826,602112,0.749934196472168,4.360084,294,18.038841,500,0.018896485,602112,-0.0021694675,1323.4961440563202,944.62221538,1172.83
0.002646894,604160,0.45936572551727295,4.3620677,295,7.8621774,446,0.026757812,604160,-0.0013106738,1327.585379600525,939.40016825,1172.83
0.0015104732,606208,0.8437808305025101,4.365182,296,13.846066,475,0.013964844,606208,-0.0023777268,1332.172392129898,913.51846441,1148.17
0.0050525623,608256,0.5314187109470367,4.370197,297,8.534886,448,0.059326172,608256,-0.0027977242,1336.480951309204,908.35983246,1148.17
0.006730698,610304,0.651728093624115,4.372571,298,7.999709,471,0.09438477,610304,-0.005520557,1341.0527284145355,902.35747591,1148.12
0.004120145,612352,0.8741026967763901,4.370526,299,24.296627,469,0.047705077,612352,-0.0057283463,1345.3993139266968,916.84500873,1168.05
0.0029677325,614400,0.8620899468660355,4.3726134,300,26.392096,442,0.029345702,614400,-0.0024950276,1349.760081768036,898.6368694600002,1151.02
0.0053793313,616448,0.7548463046550751,4.375598,301,20.067478,417,0.0659668,616448,-0.003513587,1354.3896689414978,916.0054965600002,1167.86
0.0053185048,618496,0.7587275058031082,4.377011,302,19.880362,397,0.06977539,618496,-0.0035242655,1359.290406703949,930.5524982500001,1180.96
0.0032084517,620544,0.8458912074565887,4.3788767,303,19.952534,411,0.034472656,620544,-0.002157661,1364.4429903030396,948.12352009,1198.43
0.0034147985,622592,0.8365718424320221,4.3797755,304,19.87125,398,0.041259766,622592,-0.0020260068,1369.4245607852936,947.5343663000001,1198.43
0.0023379414,624640,0.9022772684693336,4.392705,305,22.336733,409,0.025390625,624640,-0.0038259414,1374.562346458435,946.1283831600001,1198.18
0.0033396159,626688,0.7792077958583832,4.397289,306,20.34694,406,0.03310547,626688,-0.002531369,1379.5594165325165,963.5479662800001,1215.61
0.001844377,628736,0.8777040168642998,4.39014,307,13.002932,455,0.018701172,628736,-0.0025041355,1384.5943853855133,936.90525348,1191.81
0.004154914,630784,0.8345351964235306,4.3947973,308,24.863499,413,0.046826173,630784,-0.0023931111,1389.0916273593903,938.82173985,1194.51
0.0030973244,632832,0.8110557794570923,4.396379,309,19.817331,367,0.033496093,632832,-0.0030567336,1394.048909664154,955.7668080599999,1211.97
0.004475008,634880,0.8420275896787643,4.398374,310,20.401247,364,0.05078125,634880,-0.004455726,1399.6184694766998,954.5485457299999,1211.97
0.0023256077,636928,0.9579913467168808,4.4011297,311,9.487184,369,0.021289062,636928,-0.0019372732,1405.2438271045685,937.5932851199998,1196.07
0.002246905,638976,0.9083403274416924,4.404752,312,24.621311,409,0.023632813,638976,-0.0017613521,1410.784848690033,939.9687871499998,1201.18
0.0031643123,641024,0.8744170665740967,4.4141717,313,19.64889,360,0.032568358,641024,-0.0031456314,1415.7917602062225,956.0528931399998,1217.11
0.0033042873,643072,0.8716993927955627,4.4220834,314,28.18876,380,0.039746094,643072,-0.0033442539,1421.4745309352875,937.6646168099998,1201.8
