fps,n_updates,explained_variance,value_loss,ep_reward_mean,policy_loss,ep_len_mean,time_elapsed,policy_entropy,total_timesteps,approxkl,clipfrac,serial_timesteps
288,802,0.9269315004348755,3.8435674,814.09327837,-0.006844689,1290.19,5414.014546394348,3.2949615,1642496,0.004837244,0.054345705,1642496
290,803,0.8555298149585724,11.641935,827.2850630300001,-0.0053984746,1307.67,5421.120498180389,3.3131256,1644544,0.0046691666,0.056152344,1644544
289,804,0.948901429772377,3.7396712,837.9542399000001,-0.0036694887,1323.93,5428.1780660152435,3.322084,1646592,0.002918067,0.032568358,1646592
277,805,0.6051989495754242,12.059963,850.3925706700002,-0.005477122,1343.83,5435.249006509781,3.3275642,1648640,0.004958008,0.06303711,1648640
280,806,0.768615186214447,15.73512,836.1624081499999,-0.0043929336,1323.92,5442.631177902222,3.333418,1650688,0.00473776,0.05,1650688
285,807,0.7812944054603577,21.038893,830.5663216300001,-0.0052940995,1315.49,5449.94301199913,3.3403351,1652736,0.00406925,0.046435546,1652736
288,808,0.878256231546402,9.106006,841.5997035000001,-0.003706179,1332.03,5457.12035036087,3.341413,1654784,0.004498881,0.053027343,1654784
315,809,0.8113598525524139,4.932824,837.9274532200001,-0.0025599345,1333.92,5464.226471662521,3.325845,1656832,0.0044179666,0.049121093,1656832
281,810,0.8279218226671219,17.26843,838.5596259600002,-0.0046974923,1335.33,5470.7256989479065,3.3200002,1658880,0.0037295476,0.042822264,1658880
288,811,0.8478816896677017,9.30645,838.6340598099999,-0.0021256434,1335.33,5478.005031108856,3.3258348,1660928,0.0027930953,0.028515626,1660928
294,812,0.9330690503120422,4.8854113,835.1121018800001,-0.00488739,1331.61,5485.112087726593,3.3272216,1662976,0.0025495128,0.02265625,1662976
286,813,0.8655532151460648,9.660796,834.18624718,-0.00385704,1331.61,5492.073599815369,3.3258014,1665024,0.0032087944,0.036083985,1665024
284,814,0.7393038272857666,11.321983,845.3253169100003,-0.0034915265,1347.25,5499.215821027756,3.321162,1667072,0.0042347508,0.047509767,1667072
296,815,0.9148403331637383,5.037644,844.8943073400001,-0.006757207,1347.25,5506.417013645172,3.3177185,1669120,0.005634551,0.06796875,1669120
286,816,0.8854800760746002,9.195584,857.2580887100002,-0.002679902,1364.72,5513.321016788483,3.3108566,1671168,0.0044969926,0.051367186,1671168
293,817,0.923973873257637,4.223247,845.8186149800001,-0.0018415054,1350.42,5520.461292266846,3.3096874,1673216,0.0038684527,0.04111328,1673216
298,818,0.8525453358888626,9.260557,843.8564802200002,-0.0033753566,1350.42,5527.438133955002,3.313746,1675264,0.0041869166,0.050878905,1675264
296,819,0.8546691983938217,9.794249,853.9180797600001,-0.0047815107,1368.82,5534.31036734581,3.3168354,1677312,0.003921208,0.042626955,1677312
291,820,0.7578185796737671,8.82184,861.0686619200002,-0.008391889,1380.39,5541.225777626038,3.3227544,1679360,0.006435646,0.07719727,1679360
286,821,0.851419135928154,9.105086,865.3741677900001,-0.0054161353,1385.01,5548.263692378998,3.3252804,1681408,0.005656525,0.06889649,1681408
287,822,0.783385381102562,12.812063,875.8457757700002,-0.00426169,1398.6,5555.42527961731,3.3115973,1683456,0.003483771,0.03652344,1683456
287,823,0.7666321694850922,9.486044,887.9707476399999,-0.0041655996,1415.23,5562.5426642894745,3.2912903,1685504,0.0046039415,0.052490234,1685504
282,824,0.7771102041006088,8.564592,889.3766841400002,-0.0025971637,1415.23,5569.6704297065735,3.284169,1687552,0.004545036,0.05673828,1687552
