policy_loss,fps,total_timesteps,clipfrac,n_updates,approxkl,time_elapsed,policy_entropy,serial_timesteps,value_loss,explained_variance,ep_reward_mean,ep_len_mean
-0.0022899404,170,407552,0.05698242,199,0.0054545533,2533.837507724762,3.6786828,407552,2.3699222,0.9600991867482662,1758.5785038699998,2007.04
-0.005277272,147,409600,0.051123045,200,0.0058849547,2545.852091550827,3.6609597,409600,2.5078053,0.9616304449737072,1759.0433632499999,2007.05
-0.0025250006,166,411648,0.058886718,201,0.0058535077,2559.75994515419,3.6313043,411648,2.5416927,0.9627402797341347,1762.0451874699997,2007.04
-0.0069515505,164,413696,0.062597655,202,0.007382682,2572.088944911957,3.6028805,413696,2.446641,0.9615783616900444,1762.0065214600002,2007.04
0.00065686123,196,415744,0.038085938,203,0.004336446,2584.5627269744873,3.5775654,415744,2.5372405,0.9615693502128124,1762.08178904,2007.04
0.0011997682,190,417792,0.06098633,204,0.0071959225,2594.9847943782806,3.5587394,417792,2.4189658,0.9574550502002239,1762.5501367,2007.04
-0.0063827983,169,419840,0.08100586,205,0.007527889,2605.7223694324493,3.5474668,419840,2.4376006,0.961966298520565,1763.2532441199999,2007.04
-0.002685891,165,421888,0.07143555,206,0.0059835664,2617.7896835803986,3.5415835,421888,6.6945686,0.8508782237768173,1764.33061912,2007.04
-0.0024926255,140,423936,0.050439455,207,0.005002509,2630.133186817169,3.517252,423936,1.9714215,0.9680383987724781,1769.2767519299998,2013.32
-0.005986516,171,425984,0.06430664,208,0.0054868413,2644.7508070468903,3.478951,425984,2.384267,0.9627215452492237,1784.0064081799999,2027.52
-0.006349077,165,428032,0.062158205,209,0.0056518354,2656.6956210136414,3.4520118,428032,2.373559,0.9616370834410191,1788.4029257599998,2027.52
-0.0056494805,170,430080,0.07475586,210,0.008380972,2669.0941121578217,3.4405255,430080,2.420527,0.9622787497937679,1792.6224023299999,2027.52
-0.0019365384,165,432128,0.047558594,211,0.0048319167,2681.0988504886627,3.4208863,432128,2.3782656,0.9613442681729794,1792.6013652200002,2027.52
0.0019275735,177,434176,0.06333008,212,0.007555572,2693.5074973106384,3.4144707,434176,2.6083493,0.9511654675006866,1798.2056503700003,2027.52
