total_timesteps,serial_timesteps,fps,approxkl,n_updates,ep_reward_mean,time_elapsed,explained_variance,policy_entropy,clipfrac,ep_len_mean,value_loss,policy_loss
274432,274432,542,0.004342262,134,1362.75623201,503.31704092025757,0.06339061260223389,2.476472,0.0496582,1404.99,16.053883,-0.0030886715
276480,276480,541,0.0013404283,135,1379.2582728799998,507.0923707485199,0.009193360805511475,2.5069165,0.006591797,1421.78,16.759335,-0.00010038838
278528,278528,543,0.0024881824,136,1394.91121357,510.8744056224823,0.04585379362106323,2.5077848,0.025097657,1437.73,16.290081,-0.0017078262
280576,280576,539,0.0021406102,137,1410.3940239800002,514.6434242725372,-0.017772793769836426,2.504119,0.017919922,1453.5,17.11734,-2.5980606e-05
282624,282624,552,0.002950687,138,1426.4799997599998,518.443353176117,0.02038133144378662,2.5041602,0.030908203,1469.95,16.86516,-0.0007818841
284672,284672,555,0.0032446831,139,1443.0841770199997,522.1533808708191,0.03398948907852173,2.509238,0.03491211,1486.8,16.801195,-0.00037570167
286720,286720,535,0.0011068202,140,1459.8617153599998,525.8408358097076,0.003884553909301758,2.5033615,0.006201172,1503.91,17.492643,-0.0008447602
288768,288768,530,0.000869047,141,1476.01980403,529.6676666736603,-0.005752086639404297,2.5040221,0.0026855469,1520.1,17.738983,-0.00033257058
290816,290816,548,0.0020853626,142,1491.0746727899998,533.5326797962189,0.14259833097457886,2.5174534,0.021972656,1535.73,16.320553,-0.0015376589
292864,292864,535,0.0017624926,143,1515.4016679999997,537.2698440551758,0.7940421402454376,2.5351555,0.011914062,1560.53,21.216,-0.0016235436
294912,294912,540,0.004264668,144,1529.67464412,541.0957999229431,0.9633455388247967,2.5181665,0.042382814,1575.36,4.9271827,-0.004791235
296960,296960,542,0.0013616815,145,1537.9705632199996,544.883177280426,0.9472422786056995,2.5037587,0.0072753904,1584.21,4.4838724,-0.0016025549
299008,299008,544,0.0029447968,146,1554.11564431,548.6557142734528,0.010672390460968018,2.5135112,0.029882813,1600.96,17.98616,-0.003956989
301056,301056,545,0.0035890029,147,1567.39072539,552.4195919036865,0.14489400386810303,2.5262475,0.038232423,1614.59,16.692833,-0.004650724
303104,303104,545,0.0032712505,148,1582.8090029799998,556.1732466220856,-0.0009266138076782227,2.5367951,0.03286133,1630.09,18.431965,-0.0008824274
305152,305152,537,0.0026851378,149,1597.7228276899998,559.9257881641388,-0.0018761157989501953,2.5397928,0.024658203,1645.11,18.383038,-0.00014530001
307200,307200,538,0.0028940223,150,1612.32667625,563.7399990558624,-0.001076817512512207,2.5318685,0.025439452,1659.85,18.269497,-0.0008554628
309248,309248,545,0.0026487936,151,1625.18850821,567.5460987091064,-0.0022565126419067383,2.5300643,0.02216797,1672.93,18.465166,-0.002401209
311296,311296,519,0.0017175751,152,1638.5891133000002,571.3024559020996,0.006908893585205078,2.5331373,0.0125,1686.63,18.485014,0.00026154367
313344,313344,529,0.004163226,153,1652.1067513700002,575.2455780506134,-0.007432699203491211,2.5357165,0.05234375,1700.06,18.792463,-0.0019739573
315392,315392,534,0.0036056805,154,1664.0420546300002,579.112307548523,0.00311887264251709,2.532271,0.03354492,1711.98,18.71682,-0.0012844249
317440,317440,528,0.0038445075,155,1677.02000455,582.946581363678,-0.005262494087219238,2.5282693,0.042382814,1724.83,18.842812,-0.0020286166
319488,319488,522,0.0021218348,156,1688.36751817,586.8223187923431,0.006368458271026611,2.528511,0.015332031,1736.12,18.69688,0.000416964
321536,321536,501,0.0028853358,157,1701.70767918,590.7407052516937,-0.0026237964630126953,2.5219183,0.03125,1749.41,19.036602,-0.00058576296
323584,323584,519,0.0025199167,158,1712.50765464,594.8278594017029,-0.0012049674987792969,2.520982,0.023779297,1760.28,18.979036,-0.00083205913
325632,325632,511,0.0030284608,159,1727.5466631200002,598.7688336372375,-0.0046634674072265625,2.5360017,0.030273438,1775.44,19.06778,-0.00090811943
