policy_entropy,approxkl,ep_len_mean,ep_reward_mean,total_timesteps,n_updates,explained_variance,clipfrac,value_loss,policy_loss,serial_timesteps,time_elapsed,fps
1.7256149,0.007219003,1505.16,1055.9030261599999,638976,312,0.5840639770030975,0.08891602,9.601918,-0.0037059118,638976,1277.4653792381287,533
1.7342079,0.0055324323,1505.16,1054.0512003399997,641024,313,0.7740262448787689,0.06708984,11.92671,-0.0035355415,641024,1281.3034224510193,538
1.7305696,0.0042280536,1489.48,1042.88183082,643072,314,0.9315670058131218,0.048535157,1.4223559,-0.0056427945,643072,1285.1087574958801,511
1.7323036,0.002942446,1489.48,1044.08936972,645120,315,0.8714751154184341,0.027880859,3.878943,-0.003234978,645120,1289.110622882843,545
1.73318,0.0042187576,1490.49,1045.63835526,647168,316,0.7188660502433777,0.046484374,5.645282,-0.0044151107,647168,1292.863557100296,531
1.7391808,0.004257527,1471.07,1031.64374339,649216,317,0.7412247657775879,0.04433594,18.048681,-0.0029989283,649216,1296.7201943397522,519
1.7291152,0.0032969709,1462.75,1026.52622508,651264,318,0.7799638956785202,0.029638672,13.259796,-0.0014414955,651264,1300.6620490550995,533
1.7168417,0.0030756008,1447.61,1017.25334707,653312,319,0.7746510058641434,0.028076172,19.419983,-0.0033644848,653312,1304.5012547969818,533
1.7277998,0.0033095416,1427.39,1004.6993631300002,655360,320,0.7514317333698273,0.03364258,22.819906,-0.0029250481,655360,1308.3388781547546,511
1.7385623,0.004125542,1400.05,987.4339789899999,657408,321,0.8402429521083832,0.045800783,16.163633,-0.004515017,657408,1312.3409523963928,519
1.7346201,0.0026124131,1400.05,988.00440111,659456,322,0.602715015411377,0.026367188,14.236287,-0.0023947223,659456,1316.2834236621857,547
1.7370784,0.003562122,1412.5,995.3872809299999,661504,323,0.9293149933218956,0.03666992,4.1331797,-0.0024779767,661504,1320.0234518051147,545
1.7485645,0.0026042196,1405.68,994.39244817,663552,324,0.7596904337406158,0.027539063,9.114179,-0.0020783914,663552,1323.7810909748077,541
1.7543595,0.002937926,1388.24,983.8460832300001,665600,325,0.7048196196556091,0.033984374,23.95794,-0.0026938368,665600,1327.5637261867523,526
1.7458723,0.0049627507,1388.24,983.8490988600001,667648,326,0.7379980683326721,0.053222656,9.192419,-0.0036749206,667648,1331.4555830955505,513
1.7285669,0.0050785607,1403.24,994.9635022200001,669696,327,0.44715791940689087,0.057519533,13.61069,-0.0023800398,669696,1335.4446592330933,527
1.721276,0.0044139167,1403.24,995.10175803,671744,328,0.8455163240432739,0.044970702,10.754345,-0.0033730809,671744,1339.3277866840363,530
1.7010778,0.006233243,1415.62,998.8252854100001,673792,329,0.9344977512955666,0.07070313,7.036313,-0.0027601952,673792,1343.1908993721008,504
1.6881144,0.0029539166,1415.62,998.9561842799999,675840,330,0.6618693768978119,0.028173828,9.901911,-0.0025741104,675840,1347.254770040512,497
1.6851947,0.003993149,1415.62,998.2985790099999,677888,331,0.6980932950973511,0.04243164,11.789943,-0.0020075773,677888,1351.3758492469788,472
1.6848749,0.004366542,1406.2,991.24786077,679936,332,0.8332088142633438,0.044873048,6.770238,-0.0063919253,679936,1355.708727836609,477
1.6939542,0.0046033557,1412.64,996.3054212899999,681984,333,0.7847317457199097,0.0515625,11.573154,-0.0015219006,681984,1359.9986414909363,472
1.697401,0.0018038664,1428.59,1004.86848437,684032,334,0.8344687074422836,0.015136719,8.790205,-0.0012939493,684032,1364.333727836609,519
1.6912673,0.005798142,1440.87,1014.7775483,686080,335,0.5787602066993713,0.07324219,9.789923,-0.0039494876,686080,1368.2795763015747,519
1.688962,0.003318082,1452.4,1023.11101003,688128,336,0.7955773174762726,0.03569336,7.9768653,-0.0035437234,688128,1372.2197015285492,538
1.680137,0.0049194815,1471.14,1035.91779075,690176,337,0.7970937788486481,0.058935545,15.561243,-0.0040916437,690176,1376.026023864746,536
1.6827608,0.007433422,1471.14,1036.64593166,692224,338,0.5917870700359344,0.09482422,12.039789,-0.0058507514,692224,1379.8454322814941,528
1.6936252,0.004136271,1479.56,1043.91833054,694272,339,0.5150948762893677,0.050634764,14.906115,-0.0017480623,694272,1383.7179355621338,510
1.6921504,0.005930512,1463.87,1031.53952014,696320,340,0.881279245018959,0.06274414,10.294523,-0.0041725175,696320,1387.7313425540924,529
1.6857319,0.007565557,1479.89,1040.43979304,698368,341,0.6881182193756104,0.08525391,14.233454,-0.0062656784,698368,1391.5969860553741,502
1.6682236,0.0065274825,1441.92,1014.18676001,700416,342,0.8743555843830109,0.07368164,19.269075,-0.0031137348,700416,1395.6741604804993,511
1.6603873,0.0048126723,1441.92,1012.76238958,702464,343,0.675955206155777,0.059228517,8.982714,-0.003117619,702464,1399.679342508316,540
1.665118,0.004838473,1441.92,1013.0491424300001,704512,344,0.6173996925354004,0.054638673,11.833831,-0.0073602693,704512,1403.4695658683777,539
1.6619751,0.0066131763,1441.92,1011.66752365,706560,345,0.45716971158981323,0.072509766,11.27253,-0.0008945378,706560,1407.2691774368286,500
1.6574652,0.0053565707,1426.19,999.9414043500001,708608,346,0.8519832491874695,0.060791016,6.322214,0.0004387904,708608,1411.3642880916595,472
1.6625351,0.004218216,1426.19,998.66809266,710656,347,0.6504554152488708,0.051220704,12.656694,-0.004599097,710656,1415.701334476471,464
1.6730047,0.0025372528,1426.19,998.1390965200001,712704,348,0.756814256310463,0.026806641,8.885753,0.00029593738,712704,1420.1115396022797,458
1.6654972,0.003893274,1428.7,1004.08096844,714752,349,0.5132099688053131,0.041259766,13.311707,-0.0024572562,714752,1424.5807657241821,479
1.6505153,0.005813956,1427.42,1005.72153128,716800,350,0.6668866574764252,0.062451173,16.632915,-0.0037190777,716800,1428.854821920395,534
1.6489801,0.005379701,1441.03,1015.45056442,718848,351,0.7525311559438705,0.063769534,9.473086,-0.0040107043,718848,1432.6923718452454,560
1.6702373,0.006267271,1457.68,1027.62772107,720896,352,0.6406022012233734,0.06782226,9.528413,-0.0045262473,720896,1436.3493294715881,524
1.6892178,0.004824239,1467.9,1034.92476739,722944,353,0.6169750392436981,0.054541014,11.757966,-0.0046395543,722944,1440.2513535022736,477
1.6948084,0.0034538948,1475.47,1038.87380652,724992,354,0.7654240131378174,0.03852539,10.020182,-0.0028410978,724992,1444.5444161891937,470
1.701582,0.0045232926,1489.46,1048.7716339899998,727040,355,0.6253274977207184,0.049365234,11.018594,-0.0028740503,727040,1448.8986790180206,531
1.7016487,0.0041395407,1494.69,1051.9382753099999,729088,356,0.9082639962434769,0.03769531,4.8973618,-0.0101749245,729088,1452.7492122650146,412
1.6944748,0.0038950928,1494.69,1053.32356055,731136,357,0.5719284415245056,0.043261718,10.844313,-0.00593809,731136,1457.718964099884,516
1.7018607,0.0038911842,1488.96,1049.01653741,733184,358,0.8580018579959869,0.043310545,10.756086,-0.005002851,733184,1461.6866698265076,485
1.7108023,0.0049121496,1494.79,1053.2976385499999,735232,359,0.8110335171222687,0.058007814,6.6374803,-0.0044836993,735232,1465.9074862003326,531
1.7068752,0.005503687,1509.09,1063.6752866,737280,360,0.7740254104137421,0.06914063,10.586406,-0.0055782814,737280,1469.760602235794,514
1.7054939,0.0047092163,1525.9,1076.2942818,739328,361,0.8107684403657913,0.054052733,14.002118,-0.0034591947,739328,1473.7421200275421,469
1.7076877,0.006287046,1542.24,1087.25085771,741376,362,0.76328244805336,0.07631836,9.827534,-0.00035381873,741376,1478.1088721752167,508
1.6972322,0.006234377,1560.07,1101.4752502499998,743424,363,0.7075882256031036,0.07734375,16.434944,-0.004343569,743424,1482.1338245868683,494
