serial_timesteps,ep_reward_mean,approxkl,clipfrac,time_elapsed,policy_entropy,fps,value_loss,ep_len_mean,policy_loss,explained_variance,n_updates,total_timesteps
286720,561.1746728300001,0.0044877785,0.05366211,464.85712146759033,1.6967714,635,13.380427,1214.91,-0.0025175768,0.5294325947761536,140,286720
288768,565.81529476,0.0061056195,0.068408206,468.0827569961548,1.6969216,620,5.530922,1214.91,-0.0020799628,0.6366684436798096,141,288768
290816,570.14647504,0.0077529973,0.08847656,471.3868980407715,1.6915867,592,5.2570276,1220.3,-0.0032742657,0.4706465005874634,142,290816
292864,572.62702124,0.0035133916,0.041650392,474.8470151424408,1.6922764,607,6.2816324,1220.3,0.0002990346,0.3469995856285095,143,292864
294912,576.5174806299999,0.003573692,0.044042967,478.22065591812134,1.6945574,613,6.596221,1220.3,-0.0036094547,0.45446062088012695,144,294912
296960,580.0905225799999,0.008101029,0.09970703,481.5577971935272,1.6858995,603,5.03877,1220.3,-0.0069404244,0.5891393721103668,145,296960
299008,583.6167306799999,0.00394329,0.043164063,484.9502592086792,1.6718218,619,6.81763,1220.3,-0.0013624307,0.4827880263328552,146,299008
301056,592.3165615999999,0.0064642737,0.07695313,488.2579028606415,1.6671913,603,5.321252,1232.3,-0.0005573481,0.5502551198005676,147,301056
303104,601.09464358,0.00605659,0.075,491.6507456302643,1.6812178,622,6.5788927,1242.0,-0.0021632635,0.583050549030304,148,303104
305152,595.14186866,0.0050055394,0.059814453,494.9430847167969,1.6952814,604,7.908046,1217.84,-0.0028956712,0.7408414483070374,149,305152
307200,587.5712571999999,0.0036886265,0.042529296,498.32939529418945,1.7045139,623,14.631274,1187.36,-0.0010858295,0.5584492385387421,150,307200
309248,582.2786967499999,0.006296061,0.071777344,501.6142489910126,1.7166325,629,5.480977,1164.83,-0.0032749146,0.9033910483121872,151,309248
311296,562.2408098799999,0.003288795,0.033251952,504.8694369792938,1.7298117,596,18.317623,1109.7,-0.0023858265,0.6386553645133972,152,311296
313344,545.37189045,0.0019908235,0.017724609,508.30439257621765,1.7332712,609,11.15699,1068.54,-0.0016933568,0.7657690197229385,153,313344
315392,548.22005877,0.0034418274,0.039404295,511.6642723083496,1.7452751,636,13.95002,1067.32,-0.002900567,0.636339545249939,154,315392
317440,536.84102942,0.0034484845,0.039794922,514.8812608718872,1.7630295,614,12.993337,1039.35,-0.0013617915,0.7717969864606857,155,317440
319488,531.4205863500001,0.003867225,0.042529296,518.2147176265717,1.7662687,646,14.731522,1023.63,-0.002694321,0.6598313748836517,156,319488
321536,519.07803819,0.0027046448,0.027197266,521.3816502094269,1.7633928,632,13.199419,993.45,-0.001323885,0.7004686594009399,157,321536
323584,521.4026181900001,0.0042136046,0.05053711,524.619886636734,1.773391,620,8.790441,993.25,-0.0031650278,0.8215629309415817,158,323584
325632,519.2282792000001,0.0050569493,0.061328124,527.9240171909332,1.7839978,625,10.2507715,985.62,-0.0039123083,0.6697458028793335,159,325632
327680,526.4303645000001,0.0047481908,0.058447264,531.1968395709991,1.7858013,633,10.673047,991.52,-0.002913813,0.7920926213264465,160,327680
