approxkl,time_elapsed,clipfrac,policy_entropy,total_timesteps,serial_timesteps,fps,ep_reward_mean,value_loss,policy_loss,n_updates,ep_len_mean,explained_variance
0.00359239,1347.1729662418365,0.044921875,4.728835,643072,643072,467,531.04116638,4.2288895,-0.0075760446,314,865.71,0.9693246185779572
0.002433602,1351.553612947464,0.0265625,4.7294292,645120,645120,464,516.7528955,19.312752,-0.0081309695,315,842.68,0.7951919883489609
0.0016136877,1355.9632139205933,0.0125488285,4.734372,647168,647168,485,491.0425275499999,23.038433,-0.0025745346,316,810.95,0.7908394485712051
0.0052484917,1360.1793267726898,0.061669923,4.721162,649216,649216,456,485.3621235,5.1191196,-0.0071013095,317,800.96,0.9224772155284882
0.002630807,1364.662621498108,0.027880859,4.709635,651264,651264,475,468.97923872,14.0310335,-0.0039985725,318,779.57,0.8692662566900253
0.0023654993,1368.9666392803192,0.02319336,4.711917,653312,653312,496,459.7572717600001,23.408848,-0.0031505194,319,767.43,0.5762532949447632
0.0020926814,1373.092456817627,0.020507812,4.7202725,655360,655360,489,458.63784424,15.113159,-0.004469633,320,767.09,0.8849350959062576
0.0021185284,1377.274472951889,0.021972656,4.724223,657408,657408,508,453.91708848999997,7.439795,-0.003942123,321,760.97,0.9168445840477943
0.0026576049,1381.3005692958832,0.03227539,4.7274027,659456,659456,469,451.64403904,12.806082,-0.0042852126,322,757.02,0.8894751593470573
0.0009982093,1385.6637198925018,0.007910157,4.7330527,661504,661504,475,444.25473599,9.467486,-0.002931926,323,746.43,0.923716276884079
0.0023308857,1389.9709661006927,0.025146484,4.732987,663552,663552,488,426.62609627999996,15.91403,-0.005633049,324,725.92,0.8937074840068817
0.0028425022,1394.160747051239,0.030322265,4.728732,665600,665600,460,433.18847605,3.428151,-0.0047376906,325,734.74,0.9412727281451225
0.0020580452,1398.6130723953247,0.022216797,4.7274556,667648,667648,464,441.0405127500001,9.05218,-0.0024052844,326,746.45,0.9301135614514351
0.0027675123,1403.0213451385498,0.027685547,4.729364,669696,669696,445,445.01222633000003,6.65215,-0.0029470797,327,750.78,0.9585876241326332
0.0036719465,1407.6139767169952,0.045654297,4.7300296,671744,671744,481,455.32648151999996,11.310447,-0.003007942,328,764.13,0.9273438155651093
0.0016611023,1411.8675668239594,0.0145019535,4.73441,673792,673792,487,459.1230685099999,6.5025086,-0.0005828308,329,769.93,0.9235123097896576
0.0039218757,1416.073144197464,0.04863281,4.7397585,675840,675840,460,466.587849,9.456252,-0.0065295435,330,780.23,0.9466494023799896
0.0034116325,1420.5236158370972,0.037402343,4.7469,677888,677888,492,478.90705706,6.179549,-0.0051671155,331,795.71,0.9248828440904617
0.0039112354,1424.6863815784454,0.04399414,4.741336,679936,679936,499,473.65261300000003,8.632666,-0.007858867,332,789.2,0.9404887035489082
0.0035248771,1428.790938615799,0.04086914,4.742572,681984,681984,445,485.16528079000005,12.091012,-0.0022256817,333,806.83,0.8265138566493988
0.005189321,1433.3858649730682,0.0597168,4.739406,684032,684032,453,493.55666717,11.761694,-0.0062567918,334,818.48,0.8821183517575264
0.002732502,1437.9042546749115,0.029785156,4.740404,686080,686080,451,512.6582353200001,12.389924,-0.00066092826,335,841.41,0.9298185333609581
0.0033299166,1442.4432485103607,0.03793945,4.75241,688128,688128,484,504.21673457,6.196298,-0.0050493395,336,830.36,0.9628564603626728
0.0026706434,1446.671804189682,0.029150391,4.758189,690176,690176,459,520.9743697399999,28.266699,-0.0022668573,337,848.86,0.8650203347206116
