policy_entropy,approxkl,total_timesteps,n_updates,explained_variance,clipfrac,value_loss,policy_loss,serial_timesteps,time_elapsed,fps,ep_len_mean,ep_reward_mean
5.808705,0.0057701673,284672,139,0.0305289626121521,0.06225586,19.655952,-0.0020332392,284672,686.8058848381042,444,1766.51,1757.3673883500003
5.78975,0.0054039774,286720,140,0.004754543304443359,0.073632814,20.006218,-0.00301635,286720,691.4124610424042,431,1766.51,1757.2412075900002
5.791997,0.008006657,288768,141,-0.0031554698944091797,0.10834961,20.213465,-0.003098927,288768,696.1584136486053,372,1786.68,1777.2743370200003
5.7921805,0.0019914685,290816,142,0.0061127543449401855,0.018066406,20.017939,-0.000674944,290816,701.6499321460724,359,1786.68,1777.20887021
5.793588,0.0025233533,292864,143,0.007645249366760254,0.027929688,20.108437,0.00018860071,292864,707.3402149677277,374,1786.68,1777.1626966999997
5.806348,0.0016597314,294912,144,-0.011931657791137695,0.013476563,20.28547,-0.00016552894,294912,712.8138065338135,394,1786.68,1777.1165782599999
5.8205547,0.0041065468,296960,145,-0.0009337663650512695,0.050585937,20.178087,-0.00078986504,296960,718.0077486038208,377,1786.68,1777.08748786
5.809636,0.004562937,299008,146,0.009716928005218506,0.053027343,20.00869,-0.0028454617,299008,723.4397692680359,406,1786.68,1777.0277882700002
5.7858324,0.0035591149,301056,147,-0.0022634267807006836,0.044433594,20.143631,-0.0009812738,301056,728.4746186733246,375,1786.68,1776.8896472500003
5.7858157,0.0021311531,303104,148,-0.001213669776916504,0.022705078,20.115383,-0.00030572,303104,733.9321954250336,412,1786.68,1776.76532145
5.7870917,0.003384535,305152,149,-0.0013396739959716797,0.03730469,20.012196,-0.0008781411,305152,738.895192861557,380,1786.68,1776.6384989200003
5.7894096,0.0021588835,307200,150,-0.001079559326171875,0.017138671,20.020027,-2.5494484e-05,307200,744.2746732234955,307,1786.68,1776.4775201
5.797735,0.002144277,309248,151,0.008182227611541748,0.015527343,19.793688,-0.00060375757,309248,750.9398331642151,347,1786.68,1776.2883088099998
5.801941,0.0030465783,311296,152,0.029668331146240234,0.03203125,19.530918,-0.0012463953,311296,756.8348567485809,353,1806.85,1796.2104086000002
5.8005404,0.003666982,313344,153,0.025172114372253418,0.041552734,19.572266,-0.0025977346,313344,762.6329867839813,336,1806.85,1796.02588059
5.80643,0.0047273925,315392,154,0.10925555229187012,0.058789063,18.433903,0.00035520268,315392,768.7175524234772,342,1806.85,1795.80815858
5.809031,0.0017729085,317440,155,0.10507410764694214,0.015673827,18.4688,-0.0009017243,317440,774.7030894756317,411,1806.85,1795.58279479
5.809233,0.0024306807,319488,156,0.03264808654785156,0.025146484,19.382404,0.00016891595,319488,779.6841163635254,404,1806.85,1795.3263447
5.8200903,0.002410214,321536,157,0.029599428176879883,0.022705078,19.54047,-0.0012354248,321536,784.7437846660614,428,1827.02,1815.22513074
5.8178983,0.0043897303,323584,158,0.012757182121276855,0.047460936,19.491816,-0.0013197929,323584,789.5220875740051,412,1827.02,1815.0471080199998
5.815318,0.0026592761,325632,159,0.03465914726257324,0.030761719,19.51884,-0.0018132571,325632,794.4830458164215,418,1827.02,1814.8747282999996
5.807531,0.0033117044,327680,160,0.00727391242980957,0.031445313,19.776505,-0.0014530341,327680,799.373991727829,416,1827.02,1814.7843665799996
5.785162,0.0042385333,329728,161,0.050805509090423584,0.047705077,19.342747,-0.00096189167,329728,804.2862622737885,399,1827.02,1814.6946364499997
5.783543,0.0030614235,331776,162,-0.01967620849609375,0.03251953,20.349817,0.00010802811,331776,809.4071123600006,400,1827.02,1814.69896608
5.7828298,0.0013547787,333824,163,0.003192126750946045,0.010693359,20.2702,-0.00067767897,333824,814.5189101696014,426,1827.02,1814.7002286100003
5.7790637,0.003869439,335872,164,0.0018826723098754883,0.047753908,20.257181,4.5032088e-05,335872,819.3229484558105,418,1827.02,1814.72393596
5.7747135,0.0036051404,337920,165,0.006528913974761963,0.042919923,20.272943,-0.0015184646,337920,824.222903251648,395,1827.02,1814.7177827900002
5.7722073,0.004907065,339968,166,0.7134685516357422,0.05722656,22.933235,-0.0021518348,339968,829.405595779419,332,1806.87,1794.61344514
5.774473,0.002549455,342016,167,0.004757046699523926,0.027441407,20.25381,-0.0005892037,342016,835.5668070316315,378,1806.87,1794.65596089
5.786425,0.0036691457,344064,168,-0.001715540885925293,0.04536133,20.427431,-0.0008551896,344064,840.9808559417725,418,1806.87,1794.70817924
5.8036404,0.005393823,346112,169,0.712876170873642,0.06826172,22.704233,-0.0021924921,346112,845.8794858455658,350,1786.7,1774.6970382600002
5.8187795,0.0051904847,348160,170,0.0005900263786315918,0.06435547,20.535334,-0.0011328554,348160,851.7170357704163,342,1786.7,1774.7176281399998
5.8318787,0.006122178,350208,171,0.009024500846862793,0.0765625,20.404133,-0.002145687,350208,857.6940031051636,365,1806.89,1794.7501103599998
5.8441157,0.0031936585,352256,172,-0.001297593116760254,0.033447266,20.474886,-0.00109924,352256,863.296627998352,375,1806.89,1794.66556564
5.849617,0.0020330558,354304,173,0.005260348320007324,0.016357422,20.334812,-0.0005030321,354304,868.7502541542053,312,1806.89,1794.6482725600001
5.8546576,0.0026643216,356352,174,0.6769435107707977,0.027685547,22.648954,-0.001482591,356352,875.3147783279419,363,1786.68,1774.5100663300004
5.861989,0.0034381212,358400,175,0.040945470333099365,0.038720705,19.68487,-0.002201147,358400,880.9477970600128,362,1806.86,1794.5023561500007
5.8602557,0.0007800836,360448,176,0.0768541693687439,0.0022460937,19.050089,0.00045432808,360448,886.5985269546509,325,1806.86,1794.3669273500004
5.8599424,0.0029141693,362496,177,0.05538982152938843,0.026904296,19.406855,8.44288e-05,362496,892.8881556987762,334,1806.86,1794.2481985100003
5.8584743,0.003740459,364544,178,0.7189810574054718,0.047851562,21.908651,-0.0024580858,364544,899.0096914768219,314,1786.73,1774.11388434
5.857644,0.0019011796,366592,179,0.06866496801376343,0.015039062,19.131021,0.0006597871,366592,905.531857252121,287,1786.73,1773.92523191
5.860835,0.0021011645,368640,180,0.17039990425109863,0.020898437,17.938221,-0.0016615255,368640,912.6540911197662,313,1786.73,1773.7326155699996
5.871734,0.0021805386,370688,181,0.10941267013549805,0.021484375,18.78855,-0.0006814192,370688,919.178318977356,291,1786.73,1773.5267654099996
5.8884172,0.0011563406,372736,182,0.11504453420639038,0.0071777343,18.528292,-0.00015881611,372736,926.2081143856049,313,1786.73,1773.3410015799996
5.9004974,0.0016508916,374784,183,0.13636183738708496,0.015917968,18.528156,-0.00065819646,374784,932.7479591369629,306,1786.73,1773.0629070799998
5.9042535,0.0016858611,376832,184,0.04719138145446777,0.009570313,19.309124,-0.00048185705,376832,939.424334526062,325,1806.93,1792.9893925099998
5.910815,0.0032529377,378880,185,0.03637123107910156,0.037890624,19.490818,-0.000823825,378880,945.7245876789093,318,1806.93,1792.7736550200002
