approxkl,serial_timesteps,explained_variance,ep_len_mean,policy_loss,time_elapsed,ep_reward_mean,total_timesteps,clipfrac,n_updates,value_loss,policy_entropy,fps
0.0046807798,356352,0.9641509391367435,1088.0,-0.0072769383,2493.999653816223,907.29780857,356352,0.046972655,174,5.7814336,3.7101543,157
0.003934725,358400,0.9622860252857208,1098.9,-0.0058054198,2507.0198879241943,919.3880644300001,358400,0.036083985,175,2.54141,3.7161064,178
0.0037718017,360448,0.9604480266571045,1088.51,-0.004479117,2518.4681611061096,909.8039081800001,360448,0.040380858,176,7.0421157,3.726312,139
0.0031276513,362496,0.9625460281968117,1085.44,-0.002565072,2533.1840748786926,906.90551756,362496,0.029736329,177,2.4249241,3.7246037,178
0.004251448,364544,0.9630677476525307,1085.44,-0.007245681,2544.688307285309,907.8105331800001,364544,0.0440918,178,2.4129865,3.6922848,178
0.0043955185,366592,0.9650783091783524,1085.44,-0.009163296,2556.1787865161896,907.76894334,366592,0.04941406,179,2.405341,3.6615212,175
0.0030838966,368640,0.9663481302559376,1102.14,-0.008716332,2567.8516099452972,924.78331053,368640,0.032080077,180,2.4747293,3.641341,175
0.0037143738,370688,0.9700660053640604,1110.09,-0.006173787,2579.5476274490356,932.2898574100001,370688,0.040625,181,5.5442576,3.6399074,158
0.005475564,372736,0.9624505266547203,1105.92,-0.008396337,2592.4833691120148,928.2874374900001,372736,0.0625,182,2.3688684,3.642818,178
0.004536614,374784,0.9614553898572922,1116.7,-0.0049503003,2603.945517063141,940.7845917900001,374784,0.04975586,183,2.7891576,3.6165702,174
0.0068049193,376832,0.9646797068417072,1109.97,-0.008963776,2615.6639602184296,933.0802910100002,376832,0.05546875,184,6.352111,3.6229224,159
0.004848621,378880,0.9619359746575356,1105.92,-0.008404672,2628.5420722961426,929.17838671,378880,0.05307617,185,2.388175,3.623113,178
0.0037360932,380928,0.9624239578843117,1123.67,-0.0050858064,2640.046423435211,946.8493945199999,380928,0.037744142,186,2.6187644,3.5955575,196
