fps,ep_reward_mean,approxkl,serial_timesteps,policy_loss,value_loss,clipfrac,total_timesteps,n_updates,time_elapsed,policy_entropy,ep_len_mean,explained_variance
446,1895.4764986800003,0.001998651,221184,-0.0016656991,20.077868,0.020458985,221184,108,544.4180684089661,6.7562447,1917.27,-0.007588386535644531
421,1895.4357724899999,0.0030014636,223232,-0.0006095293,20.086437,0.031347655,223232,109,549.0002539157867,6.760028,1917.27,0.0031256675720214844
434,1895.5111504800004,0.0013296824,225280,-0.00043400278,20.073355,0.009423828,225280,110,553.8648948669434,6.7618814,1917.27,0.0017212629318237305
424,1907.51940039,0.0015321217,227328,-0.0010545884,19.929472,0.0126953125,227328,111,558.5816316604614,6.765559,1928.86,0.013134598731994629
431,1896.76984835,0.001010953,229376,-0.00094311323,4.912065,0.0056152344,229376,112,563.4113631248474,6.764592,1917.64,0.9156450182199478
421,1907.6463094700002,0.0011921988,231424,-0.0010873592,20.091452,0.01015625,231424,113,568.154531955719,6.76762,1928.43,0.004978299140930176
435,1905.3293404300002,0.0015597123,233472,-0.0027952718,4.174369,0.009960937,233472,114,573.0140948295593,6.772883,1925.93,0.9320607408881187
420,1905.5314282400002,0.004387724,235520,-0.0030642692,20.061914,0.052685548,235520,115,577.7182197570801,6.773585,1925.93,0.005688190460205078
407,1905.7497219900001,0.0014914996,237568,-0.0013979247,20.12033,0.01430664,237568,116,582.5907123088837,6.7736344,1925.93,-0.003392457962036133
433,1906.1011108899995,0.003502962,239616,-0.003010136,20.054949,0.041796874,239616,117,587.6193172931671,6.777121,1925.93,0.005985438823699951
423,1912.27883814,0.0032529407,241664,-0.0024778042,19.94073,0.03769531,241664,118,592.3408043384552,6.7839775,1931.7,0.003938734531402588
402,1912.65393385,0.0020180761,243712,-0.00109621,19.8177,0.016357422,243712,119,597.1814947128296,6.7834406,1931.7,0.017562806606292725
430,1913.0388945799998,0.0014484562,245760,-0.0025442184,19.731924,0.015527343,245760,120,602.2756814956665,6.766713,1931.7,0.02026665210723877
440,1913.1362177,0.0013322778,247808,-0.00079101743,19.515394,0.011035156,247808,121,607.0369358062744,6.774745,1931.7,0.02953934669494629
413,1926.2150321000001,0.0023384034,249856,-0.002384305,19.952316,0.025976563,249856,122,611.6917581558228,6.778112,1944.73,-0.00972890853881836
425,1941.05056863,0.0015578676,251904,-0.0019202221,20.449726,0.015722657,251904,123,616.6493282318115,6.7781067,1959.42,-0.04323899745941162
421,1941.32749556,0.0013575593,253952,-0.0014558499,20.081669,0.012597656,253952,124,621.4642913341522,6.7803774,1959.42,-0.0065310001373291016
431,1954.60231512,0.0005774616,256000,-0.00018329997,19.947956,0.0022949218,256000,125,626.3195250034332,6.7833343,1972.54,0.009678006172180176
432,1954.9842417999994,0.0012967485,258048,-0.001665374,20.019712,0.011572266,258048,126,631.0715010166168,6.784951,1972.54,0.007449746131896973
434,1967.2384987199996,0.0009869403,260096,-0.0005512736,19.782154,0.005566406,260096,127,635.8026540279388,6.7792015,1984.53,0.02411973476409912
418,1979.8555017399997,0.0016019512,262144,-0.00033153399,20.37447,0.012402344,262144,128,640.514102935791,6.787154,1996.98,-0.028448104858398438
429,1980.2410295799993,0.0027858885,264192,-0.0028921259,19.119318,0.030419922,264192,129,645.4047045707703,6.7816567,1996.98,0.08695060014724731
436,1980.5234058299998,0.0036301978,266240,-0.0027221688,20.265024,0.04194336,266240,130,650.1766574382782,6.7722564,1996.98,-0.005069255828857422
411,1970.7911456000002,0.002015646,268288,-0.0013208962,23.893837,0.01977539,268288,131,654.8642237186432,6.7633605,1986.39,0.6910581588745117
412,1971.05540758,0.0018216288,270336,-0.0031112074,19.790003,0.018652344,270336,132,659.8422226905823,6.7699823,1986.39,0.03143209218978882
428,1971.25781004,0.0017683512,272384,-0.0010309832,20.229605,0.010302735,272384,133,664.8083748817444,6.778525,1986.39,-0.005153298377990723
418,1971.35415507,0.0012109575,274432,-0.00011801885,20.28965,0.010302735,274432,134,669.591007232666,6.7757607,1986.39,-0.0061833858489990234
427,1971.3316645499997,0.0010483267,276480,-0.00046818907,20.23904,0.005029297,276480,135,674.4819915294647,6.7718062,1986.39,-0.002866983413696289
440,1971.2683474599994,0.0015463643,278528,-0.0044272495,19.92648,0.013818359,278528,136,679.2785496711731,6.7499084,1986.39,0.03376585245132446
396,1971.1163661399999,0.0002830915,280576,0.0001311651,20.227951,0.00014648438,280576,137,683.9273815155029,6.7320414,1986.39,-0.004003763198852539
392,1971.0617800999999,0.003941768,282624,-0.0037606661,20.30141,0.04824219,282624,138,689.0880508422852,6.7352,1986.39,-0.012780904769897461
411,1971.21831018,0.0036264881,284672,-0.002125141,20.2659,0.04194336,284672,139,694.3024146556854,6.747653,1986.39,-0.0041615962982177734
424,1971.2392484700001,0.0015953258,286720,-0.00085548207,20.173239,0.016308594,286720,140,699.283331155777,6.7498484,1986.39,-0.0011456012725830078
418,1971.3196686,0.0023125482,288768,-0.0010650089,20.224907,0.02841797,288768,141,704.1048493385315,6.7571154,1986.39,-0.0012966394424438477
394,1971.3703054700004,0.0036173246,290816,-0.0018660314,20.136889,0.039404295,290816,142,708.9976382255554,6.758156,1986.39,0.0017194747924804688
