policy_loss,value_loss,explained_variance,time_elapsed,clipfrac,approxkl,policy_entropy,fps,n_updates,total_timesteps,serial_timesteps,ep_reward_mean,ep_len_mean
-0.004352835,6.7638016,0.83400759100914,1369.9640698432922,0.06044922,0.0050007245,2.8689,396,301,616448,616448,799.63193095,1270.38
-0.003622299,4.1077814,0.9420953616499901,1375.133772611618,0.04008789,0.0036763202,2.883535,433,302,618496,618496,809.1027169500001,1283.39
-0.0036314626,22.551247,0.7693066298961639,1379.8639452457428,0.040039062,0.003538187,2.8924363,440,303,620544,620544,813.17849463,1288.3
-0.0039393133,12.0364895,0.7539793252944946,1384.5136001110077,0.028759766,0.0027192363,2.8944087,435,304,622592,622592,825.8984141000001,1305.49
-0.005069508,12.036835,0.7737998962402344,1389.219791173935,0.066259764,0.0057813516,2.8836355,407,305,624640,624640,838.5354698000001,1322.68
-0.010254152,29.994633,0.7104240655899048,1394.2437071800232,0.06347656,0.005335587,2.8846855,429,306,626688,626688,801.3657990999999,1267.57
-0.0027787737,10.12847,0.7947008609771729,1399.0130100250244,0.049072266,0.004135954,2.8954206,446,307,628736,628736,813.6105808899998,1284.69
-0.005558254,28.765179,0.672736644744873,1403.605143070221,0.042138673,0.0038915365,2.8950286,421,308,630784,630784,814.5089922500001,1286.42
-0.0018322371,11.118788,0.7919260561466217,1408.4621171951294,0.057373047,0.0054485193,2.9123087,378,309,632832,632832,825.6019466300002,1304.26
-0.009380679,24.145773,0.765953853726387,1413.866533279419,0.054345705,0.004611631,2.9224603,435,310,634880,634880,801.8725559500001,1268.28
-0.005735836,31.50323,0.7819863110780716,1418.5668206214905,0.039257813,0.0034830098,2.9284372,432,311,636928,636928,802.4729712600002,1266.25
-0.0076167686,19.416721,0.8140930235385895,1423.2973568439484,0.038769532,0.003888556,2.9399912,408,312,638976,638976,795.1408492,1254.1
-0.002806301,29.33196,0.7446495592594147,1428.312471628189,0.030615235,0.0027725182,2.9520977,399,313,641024,641024,745.0897465399997,1173.89
-0.004100021,13.820323,0.8519813865423203,1433.4380733966827,0.029150391,0.0029776914,2.9532962,416,314,643072,643072,726.76192591,1147.97
-0.006168357,12.715303,0.8825384452939034,1438.3584034442902,0.031201173,0.0027790763,2.9566586,439,315,645120,645120,712.67768283,1127.17
-0.0043538003,8.077959,0.8648708462715149,1443.0164427757263,0.054833986,0.004487334,2.966003,435,316,647168,647168,719.0880021400001,1136.1
-0.0039664125,15.038127,0.8253039568662643,1447.7190358638763,0.03730469,0.0032971643,2.9711003,426,317,649216,649216,713.7852368499999,1129.07
-0.0013760945,15.012184,0.817782536149025,1452.517942905426,0.02084961,0.0021401725,2.9815624,419,318,651264,651264,714.0714286100001,1128.76
-0.0042113215,9.92442,0.7806958258152008,1457.3947432041168,0.06015625,0.0052234246,2.989673,424,319,653312,653312,725.6762403899999,1144.18
-0.0055539887,21.59045,0.7555281966924667,1462.219572544098,0.033154298,0.0029853524,2.9984071,413,320,655360,655360,700.8447613000001,1108.52
-0.002179607,26.043667,0.734271764755249,1467.1767039299011,0.027197266,0.0025619552,3.0054083,421,321,657408,657408,683.21723105,1083.49
-0.0033566263,12.308893,0.8344323635101318,1472.0337386131287,0.035791017,0.0031962995,3.0089579,445,322,659456,659456,677.62606298,1076.63
-0.0042688106,20.485134,0.7353579699993134,1476.634435892105,0.024560547,0.002464289,3.0041528,420,323,661504,661504,652.3763878699999,1040.93
-0.0039701886,5.649161,0.9127190113067627,1481.501479625702,0.03793945,0.0034372085,2.9967895,429,324,663552,663552,653.026528,1039.64
-0.0049180007,5.1455493,0.9142325818538666,1486.2675006389618,0.046728514,0.004244066,3.0054321,410,325,665600,665600,651.04984474,1036.68
-0.003691604,31.362494,0.7017066478729248,1491.253987789154,0.026611328,0.0026323418,3.0095909,402,326,667648,667648,614.00914933,984.56
-0.004275891,7.403157,0.8546933680772781,1496.338030576706,0.038134765,0.0035139609,3.0167222,424,327,669696,669696,608.3180284800002,976.98
-0.0057473006,16.214203,0.8257629126310349,1501.1581726074219,0.05180664,0.004819431,3.0249283,411,328,671744,671744,597.44634643,962.79
-0.0038111997,15.331709,0.7932629138231277,1506.130977153778,0.035058595,0.0031501302,3.0344412,404,329,673792,673792,598.0869640499999,963.7
-0.0041516675,11.822295,0.7685183733701706,1511.1950998306274,0.057910156,0.0059392788,3.0344207,411,330,675840,675840,598.8296656899998,963.7
-0.0048403246,7.11224,0.8877250179648399,1516.1726636886597,0.049462892,0.0049781925,3.035635,403,331,677888,677888,609.94307972,979.89
-0.009085706,7.168769,0.8430034667253494,1521.248794555664,0.08164062,0.0072548226,3.0365753,418,332,679936,679936,597.90861877,963.18
-0.005935403,23.925777,0.7559347003698349,1526.148499250412,0.047021486,0.004191935,3.04087,415,333,681984,681984,578.92046429,938.45
-0.0012718324,9.930179,0.7798697203397751,1531.0749745368958,0.025488282,0.0024122277,3.048109,422,334,684032,684032,579.11899323,938.45
-0.0019796756,9.598851,0.8500570952892303,1535.9211308956146,0.055371094,0.0052940995,3.0478575,422,335,686080,686080,579.0670094000001,938.45
-0.002413442,7.4060736,0.8714927434921265,1540.7707998752594,0.030712891,0.0035399888,3.0409079,440,336,688128,688128,576.19214015,935.1
-0.0011904789,7.631036,0.9287306144833565,1545.4227468967438,0.026416015,0.0026098453,3.0420165,421,337,690176,690176,566.5185478999999,922.63
-0.001783612,13.326653,0.7253737449645996,1550.2768015861511,0.032666016,0.0032568933,3.0408757,432,338,692224,692224,572.12734922,929.86
-0.0032099572,9.202487,0.876385509967804,1555.018014907837,0.033984374,0.0030414101,3.0377893,427,339,694272,694272,576.2133074200001,935.54
-0.0063150288,26.985102,0.7670266181230545,1559.805613040924,0.049072266,0.004525337,3.0451846,431,340,696320,696320,563.0699748999999,918.91
-0.0031351086,10.979881,0.7673359513282776,1564.549043416977,0.035253905,0.0033527531,3.0512395,427,341,698368,698368,562.85961934,918.91
-0.0023660606,15.401959,0.8296542018651962,1569.3434383869171,0.04248047,0.0038903188,3.0384204,429,342,700416,700416,570.35014036,928.38
-0.0013604164,11.581011,0.7749328166246414,1574.1086251735687,0.048193358,0.004863843,3.03411,409,343,702464,702464,576.17098974,935.41
