total_timesteps,policy_entropy,policy_loss,approxkl,n_updates,serial_timesteps,time_elapsed,explained_variance,clipfrac,fps,value_loss,ep_len_mean,ep_reward_mean
329728,3.9355578,-0.007523009,0.0063334825,161,329728,886.5687038898468,0.9552987590432167,0.07915039,362,7.0464487,1382.93,918.82380985
331776,3.9218013,-0.004423057,0.0028017568,162,331776,892.2215933799744,0.958525761961937,0.028759766,384,8.834087,1390.64,926.0741095400002
333824,3.9161365,-0.005067492,0.003807668,163,333824,897.5548293590546,0.945954404771328,0.045410156,389,5.645364,1393.81,929.0893968500002
335872,3.9224427,-0.002384307,0.0023379484,164,335872,902.8087224960327,0.8934141844511032,0.023779297,385,18.835526,1384.73,920.4748838000003
337920,3.930172,-0.0064732074,0.003066468,165,337920,908.1223509311676,0.8826925829052925,0.033154298,384,23.291222,1345.31,890.19389172
339968,3.942896,-0.0027725664,0.0016131296,166,339968,913.4486658573151,0.8626928180456161,0.016210938,391,13.754313,1311.27,864.2083444200001
342016,3.9422092,-0.002605059,0.0036725726,167,342016,918.6809000968933,0.9046211317181587,0.038769532,363,23.970528,1295.1,851.96242286
344064,3.9346135,-0.004740176,0.004023102,168,344064,924.3173086643219,0.957638256251812,0.046582032,284,11.574224,1279.25,844.0472105500002
346112,3.938621,-0.0017790789,0.0025504879,169,346112,931.5122187137604,0.9148983880877495,0.025390625,359,6.940482,1276.81,841.4287237200002
348160,3.9352036,-0.0004788965,0.0013240394,170,348160,937.2161676883698,0.7275538742542267,0.010546875,372,16.423143,1291.75,851.0806939
350208,3.9306855,-0.0036268488,0.0042290767,171,350208,942.7186105251312,0.9317103624343872,0.048779298,372,7.276442,1283.71,847.1103430700002
352256,3.927684,-0.0011553662,0.0023688723,172,352256,948.219685792923,0.8282367438077927,0.02475586,387,19.213318,1283.71,847.2804520000001
354304,3.9289436,-0.0037918002,0.0034146674,173,354304,953.4993450641632,0.836495041847229,0.041259766,394,14.974295,1290.06,851.5209978400001
356352,3.9226723,-0.0041477885,0.0050961315,174,356352,958.688316822052,0.8456942588090897,0.057910156,350,18.171068,1290.06,852.8622770300001
358400,3.9121242,-0.0029751698,0.0013699351,175,358400,964.5243394374847,0.7901393622159958,0.012451172,346,26.132778,1271.98,843.3847385000001
360448,3.9206243,-0.005033686,0.005913978,176,360448,970.4415996074677,0.9004646092653275,0.07553711,303,18.320988,1287.67,858.0036489799999
362496,3.9296436,-0.0020032923,0.0029865713,177,362496,977.198415517807,0.938435185700655,0.03173828,345,8.261137,1287.67,861.94782146
364544,3.9168477,-0.0039628134,0.0029724673,178,364544,983.1203720569611,0.7890539765357971,0.033154298,396,23.01198,1274.97,853.02794866
366592,3.9120095,-0.004047736,0.0026792956,179,366592,988.2828392982483,0.9899146184325218,0.028027344,383,0.8966719,1274.97,853.02794866
368640,3.9111526,-0.0027421727,0.003707359,180,368640,993.6175408363342,0.9181805327534676,0.041894533,389,6.541209,1260.38,845.6229994500002
370688,3.9098163,-0.0040327744,0.002428257,181,370688,998.8807647228241,0.798715814948082,0.024072265,397,16.038252,1254.1,836.5445028400001
372736,3.906741,-0.0012795527,0.0028726887,182,372736,1004.0334730148315,0.9241348132491112,0.029541016,368,21.692068,1238.49,828.3771615700002
374784,3.9121528,-0.0024644407,0.0022157675,183,374784,1009.5950274467468,0.8281594514846802,0.024169922,390,24.013508,1174.45,777.30063064
376832,3.9077637,-0.0035346567,0.003646691,184,376832,1014.8460569381714,0.9074058830738068,0.043115236,398,11.185826,1190.05,790.3003706900001
378880,3.8997784,-0.0050203945,0.004035878,185,378880,1019.990505695343,0.8725244700908661,0.04799805,358,10.512037,1190.05,788.9824423200002
380928,3.8940868,-0.0024603778,0.0035516298,186,380928,1025.6968140602112,0.8795198276638985,0.036376953,309,12.175575,1205.62,799.8469399000002
382976,3.8911655,-0.004760776,0.0030750763,187,382976,1032.3083741664886,0.9755337554961443,0.034960937,385,1.9734917,1186.64,784.57285584
385024,3.880959,-0.0057563754,0.006002239,188,385024,1037.625973701477,0.9800994303077459,0.06503906,371,3.106262,1201.25,794.90608331
387072,3.8729386,-0.0018687848,0.0027585179,189,387072,1043.1359655857086,0.9118881523609161,0.030078124,391,9.945319,1185.73,785.11108162
