n_updates,ep_reward_mean,time_elapsed,policy_loss,serial_timesteps,explained_variance,clipfrac,ep_len_mean,approxkl,value_loss,policy_entropy,total_timesteps,fps
123,537.1269840199999,921.951798915863,-0.0049682003,251904,0.6390998661518097,0.041015625,1114.9,0.0039032516,11.55792,1.5205754,251904,295
124,531.7563952200001,928.8809700012207,-0.002681877,253952,0.5323584973812103,0.049121093,1098.84,0.0041512963,5.2315645,1.5255495,253952,293
125,525.95225773,935.8712697029114,-0.0014278168,256000,0.5458934605121613,0.028564453,1074.4,0.003334316,9.803393,1.5255817,256000,296
126,491.9656163200001,942.7908401489258,-0.005059716,258048,0.5742320418357849,0.030859375,996.6,0.0027999768,12.173594,1.5217239,258048,292
127,493.8979242800001,949.8030514717102,-0.0029801761,260096,0.5908502340316772,0.048291016,996.6,0.004281457,5.2139387,1.5108659,260096,300
128,496.37351145,956.6156013011932,-0.0022770814,262144,0.5251843631267548,0.035302736,996.6,0.0034221378,6.237557,1.5010397,262144,298
129,489.10807401,963.472306728363,-0.0044724667,264192,0.8177364766597748,0.062304687,982.29,0.0052453456,2.7244754,1.5050919,264192,283
130,490.20800283999995,970.687097787857,-0.0013217336,266240,0.5608051121234894,0.042089842,982.29,0.0038264631,4.6209674,1.505944,266240,293
131,484.63289478,977.6703910827637,-0.0032905214,268288,0.4794352054595947,0.04638672,966.75,0.0040962743,7.287162,1.506076,268288,283
132,485.04488372,984.8956365585327,-0.0025690303,270336,0.49032795429229736,0.05996094,966.75,0.005244768,4.956995,1.5047157,270336,301
133,486.44746593,991.6920111179352,-0.0011363601,272384,0.5130446553230286,0.034423828,966.75,0.0033562942,5.024151,1.4930942,272384,301
134,485.33800169,998.4830000400543,-0.0013003282,274432,0.47561734914779663,0.04975586,960.44,0.004272347,8.590231,1.4876288,274432,298
135,477.95909711,1005.3387603759766,-0.0018644987,276480,0.7480664849281311,0.03286133,946.12,0.0032770056,3.0139713,1.4808602,276480,300
136,463.86603940000003,1012.1647231578827,-0.0034181837,278528,0.5105369389057159,0.036816407,912.41,0.0036381283,14.519842,1.4776385,278528,295
137,436.40368988999995,1019.0862812995911,-0.00074665976,280576,0.5613793134689331,0.014599609,859.83,0.0015631265,15.439539,1.4756119,280576,287
138,431.75683791000006,1026.2070715427399,-0.002481246,282624,0.6324886083602905,0.035107423,850.5,0.003288467,3.8667998,1.4744934,282624,295
139,440.10511075,1033.1374697685242,-0.0009931335,284672,0.49750328063964844,0.017333984,865.81,0.002106864,5.843329,1.4747846,284672,293
140,440.74375571999997,1040.1275022029877,-0.0005206388,286720,0.38760602474212646,0.04042969,865.81,0.003860046,5.253995,1.4650357,286720,291
141,435.06409873000007,1047.1592893600464,-0.0025121032,288768,0.46154099702835083,0.040966798,855.36,0.003757169,15.287524,1.4555948,288768,293
142,435.85224166,1054.1372547149658,-0.0011459573,290816,0.5213606655597687,0.022802735,855.36,0.0028057187,5.8821516,1.4552315,290816,282
143,432.69656395,1061.3960208892822,-0.0014683612,292864,0.6513251662254333,0.03330078,848.85,0.0033722632,6.4103003,1.4496714,292864,294
144,440.59803185,1068.344244003296,-0.0018331623,294912,0.5845520794391632,0.060791016,864.71,0.0051348363,4.982283,1.4329379,294912,304
145,446.66635631,1075.078691482544,-0.0017739016,296960,0.5147175788879395,0.025830079,874.29,0.002735128,16.955147,1.4254482,296960,297
146,444.99109020000003,1081.9556665420532,-0.0050770305,299008,0.5540342926979065,0.06269531,870.67,0.005105936,14.105215,1.4302626,299008,292
147,422.63775032000007,1088.9520058631897,-0.0021136357,301056,0.6662455201148987,0.02421875,828.91,0.0023604466,11.31018,1.4383566,301056,289
148,422.7129094600001,1096.0326476097107,-0.00019821226,303104,0.6043199896812439,0.021777343,828.08,0.0022829056,8.604764,1.4446361,303104,276
149,430.7910125400001,1103.44678068161,0.00087015145,305152,0.5505437552928925,0.059423827,841.76,0.00531005,5.4833236,1.4409173,305152,293
150,431.16692443000005,1110.4312217235565,-0.0021749875,307200,0.45998865365982056,0.05986328,841.76,0.005561539,5.545766,1.4475669,307200,296
151,414.73153836000006,1117.3445041179657,-0.0053922134,309248,0.6792190670967102,0.03642578,811.49,0.0035456563,7.1927185,1.45328,309248,293
152,410.10649777,1124.3340382575989,-0.006386496,311296,0.655299574136734,0.06254883,801.35,0.007070679,13.329191,1.4538788,311296,297
153,408.31004294999997,1131.2075843811035,-0.0042222943,313344,0.7646342515945435,0.028027344,797.66,0.0028402922,6.0524073,1.4593712,313344,294
154,417.69465908999996,1138.165521144867,-0.0030526065,315392,0.48409366607666016,0.062841795,814.36,0.0051130042,5.6044316,1.4605268,315392,283
155,414.40166123,1145.3815295696259,-0.0029641395,317440,0.5134773254394531,0.05859375,807.81,0.004708439,9.287207,1.4576862,317440,283
156,409.90949145999997,1152.5959684848785,-0.00015025612,319488,0.47510701417922974,0.024951171,798.61,0.002456732,10.117018,1.4582273,319488,290
157,414.54870819999996,1159.6563284397125,-0.004728792,321536,0.5445851385593414,0.058789063,807.07,0.004980273,4.9891334,1.4653578,321536,283
158,415.94584438,1166.8726243972778,-0.0023052965,323584,0.5479260385036469,0.027783204,811.84,0.0026881834,12.576105,1.4737918,323584,286
159,426.21258745,1174.0129582881927,-0.0014657676,325632,0.5482170879840851,0.029296875,830.66,0.0029479903,9.820746,1.475594,325632,283
160,435.55838711999996,1181.2421352863312,-0.0024669855,327680,0.4423424005508423,0.043017577,848.3,0.0037134949,6.473204,1.4786446,327680,291
161,440.45954029,1188.27379322052,-0.0030577763,329728,0.5942526161670685,0.03959961,857.6,0.003872579,14.990542,1.4798462,329728,295
162,450.23784102000013,1195.2017254829407,-0.0023110386,331776,0.6394945085048676,0.06333008,875.18,0.005098961,5.688315,1.4917538,331776,287
163,460.38734751,1202.314877986908,-0.0020375657,333824,0.6958799362182617,0.07099609,892.78,0.005876746,5.7788286,1.497174,333824,282
164,470.03004555,1209.556568145752,0.00018785769,335872,0.39839184284210205,0.036132812,911.23,0.003388971,6.8667846,1.4912713,335872,278
165,468.34072789,1216.91805434227,-0.0030658224,337920,0.7551032155752182,0.045556642,908.29,0.003994369,7.9676666,1.4956318,337920,289
166,482.32421234000003,1223.9945330619812,-0.0014976276,339968,0.6161008477210999,0.022265624,932.95,0.002439692,14.076472,1.5097716,339968,288
167,476.19541981,1231.0975124835968,-0.0038518992,342016,0.5581712424755096,0.088134766,922.84,0.00703234,8.803794,1.509126,342016,290
168,482.65103643000003,1238.1362516880035,-0.0032791295,344064,0.5416950583457947,0.025878906,935.66,0.002422389,16.915318,1.5050601,344064,290
169,492.23482086999996,1245.183986902237,-0.0022193084,346112,0.5550722479820251,0.043261718,953.54,0.0038338513,6.040522,1.50038,346112,289
170,502.52745025999997,1252.2475190162659,-0.0027295589,348160,0.7263506352901459,0.0637207,971.2,0.0052824123,5.8362265,1.4953806,348160,282
171,510.08552631000003,1259.4965155124664,-0.0022723894,350208,0.4951965808868408,0.06484375,985.59,0.0055659628,6.6061096,1.509704,350208,285
172,512.83403843,1266.6768472194672,-0.004846792,352256,0.808990553021431,0.048535157,991.56,0.004305353,3.5058506,1.5306109,352256,275
173,508.17329675,1274.115136384964,-0.002015248,354304,0.5017065405845642,0.0265625,983.98,0.0028558709,18.630476,1.5434357,354304,308
174,510.07288368999997,1280.750715970993,-0.0015613509,356352,0.8257720768451691,0.06362305,987.44,0.005745687,3.0816677,1.5378833,356352,300
175,520.74398511,1287.566300868988,-0.0035575256,358400,0.5959812700748444,0.049609374,1007.34,0.0039128764,16.338215,1.5427579,358400,309
176,522.0150521200001,1294.1943521499634,-0.0014198741,360448,0.8354271501302719,0.05444336,1009.77,0.0047726044,3.1357942,1.5520643,360448,305
177,521.76882121,1300.904349565506,-0.002295164,362496,0.4939731955528259,0.04399414,1009.77,0.003931196,7.165957,1.5552068,362496,303
178,521.71090155,1307.661687374115,-0.0022152478,364544,0.5229541659355164,0.066552736,1009.77,0.0056716884,6.297116,1.5528762,364544,296
179,503.1219452899999,1314.5687010288239,-0.0022480967,366592,0.6234995424747467,0.03310547,973.21,0.0034216796,19.036303,1.5492556,366592,311
180,485.82979326999987,1321.1523261070251,-0.0019612287,368640,0.7007685303688049,0.05341797,939.58,0.00451864,11.054238,1.5452923,368640,278
181,478.61868787999987,1328.5101301670074,-0.0035439723,370688,0.7092785239219666,0.056396484,925.77,0.0045128623,11.821967,1.5457499,370688,303
182,487.0287699,1335.2666852474213,-0.0026386664,372736,0.4975890517234802,0.06591797,942.18,0.0055847457,5.8632264,1.5495923,372736,291
183,492.12450339000003,1342.298815727234,-0.0058194576,374784,0.5812492966651917,0.08203125,951.46,0.006553645,12.921786,1.5502386,374784,283
184,495.92050645999996,1349.5137672424316,-0.0024696453,376832,0.7718890607357025,0.034716796,957.45,0.003136643,7.4881988,1.5531808,376832,279
185,495.70495266999984,1356.8526422977448,-0.0019385678,378880,0.5813556015491486,0.053515624,956.56,0.0046357317,14.583475,1.5520278,378880,279
