clipfrac,explained_variance,serial_timesteps,fps,total_timesteps,policy_loss,approxkl,ep_reward_mean,time_elapsed,ep_len_mean,value_loss,n_updates,policy_entropy
0.017382812,0.8461847603321075,667648,402,667648,-0.0008543739,0.0018805603,1207.2907338500002,1549.447921037674,1495.56,20.913319,326,4.96945
0.0597168,0.7764972448348999,669696,399,669696,-0.0019123586,0.005002236,1206.4285761300002,1554.532169342041,1495.56,20.017689,327,4.9639773
0.07524414,0.8045976758003235,671744,388,671744,-0.0025495347,0.0059014517,1207.4678907900002,1559.6538825035095,1495.56,19.928701,328,4.9471636
0.025585938,0.6923911273479462,673792,419,673792,-0.0030389463,0.0025131148,1224.44611111,1564.931354045868,1512.59,32.942253,329,4.949794
0.054101564,0.5489686131477356,675840,428,675840,-0.0038367633,0.0046524922,1218.91789481,1569.8146615028381,1512.59,16.166552,330,4.9553075
0.0453125,0.8450061827898026,677888,467,677888,-0.00546467,0.0040810015,1230.1688537799998,1574.5944645404816,1530.4,15.398625,331,4.96026
0.033837892,0.6394764482975006,679936,482,679936,-0.0044358647,0.0028510028,1226.1942385,1578.9729521274567,1530.4,12.11474,332,4.9705973
0.033496093,0.9136251509189606,681984,464,681984,-0.0031015435,0.0030909765,1237.5914660600001,1583.2141869068146,1548.24,11.275205,333,4.977628
0.04633789,0.8580114543437958,684032,465,684032,-0.0030936566,0.0040359357,1237.9670599400001,1587.6274137496948,1548.24,20.452229,334,4.980308
0.040966798,0.8604549169540405,686080,470,686080,-0.0024254795,0.0034886021,1253.66906946,1592.0231382846832,1565.82,20.031809,335,4.988689
0.029052734,0.824468806385994,688128,455,688128,-0.0044151633,0.0026536777,1256.87837753,1596.376574754715,1572.29,25.341906,336,4.9903026
0.022998046,0.8414987027645111,690176,467,690176,-0.002317754,0.0021830378,1258.83194392,1600.8720123767853,1572.29,12.762402,337,4.9964986
0.040966798,0.8403237015008926,692224,477,692224,-0.0022387386,0.0035719357,1255.6279196300002,1605.2492890357971,1572.29,20.580564,338,4.9943047
0.038183592,0.8184535801410675,694272,471,694272,-0.0037736439,0.0035198708,1256.4648973600001,1609.5394213199615,1572.29,13.410254,339,4.9889107
0.033984374,0.8289545625448227,696320,450,696320,-0.0019748916,0.0034761163,1262.18819086,1613.8866333961487,1572.29,18.964314,340,4.9838214
0.04111328,0.9653984382748604,698368,458,698368,-0.0036528572,0.00335474,1266.53727215,1618.4299693107605,1577.59,6.0489893,341,4.9840307
