total_timesteps,clipfrac,policy_loss,fps,time_elapsed,serial_timesteps,value_loss,ep_reward_mean,ep_len_mean,approxkl,n_updates,policy_entropy,explained_variance
1587200,0.012402344,-0.0030472516,489,3185.8401443958282,1587200,19.874863,1368.40428841,1698.28,0.0014608451,775,5.88562,0.8849571496248245
1589248,0.074072264,-0.0046430426,493,3190.023890018463,1589248,19.804262,1368.60748586,1698.28,0.005940081,776,5.8779516,0.8525577932596207
1591296,0.050048828,-0.0038249264,518,3194.1737897396088,1591296,13.316777,1364.06387541,1698.28,0.004422017,777,5.8740287,0.7081625163555145
1593344,0.034765624,-0.0018060019,526,3198.122275829315,1593344,14.00796,1361.29720214,1698.28,0.0029943783,778,5.876174,0.6892687082290649
1595392,0.053125,-0.0037777717,507,3202.0147621631622,1595392,11.540671,1355.96614951,1698.28,0.004606077,779,5.881764,0.6964056491851807
1597440,0.017822266,-0.0033401616,520,3206.048540830612,1597440,21.500143,1366.0598444300003,1713.22,0.0018400121,780,5.88568,0.651500403881073
1599488,0.08271484,-0.0048690382,490,3209.9839475154877,1599488,19.516228,1367.5168979700002,1713.22,0.006393701,781,5.868743,0.8608856350183487
1601536,0.026855469,-0.0017199796,498,3214.157007932663,1601536,19.751583,1368.0665806500003,1713.22,0.0023220158,782,5.848434,0.8782363682985306
1603584,0.051074218,-0.0021824737,483,3218.264745950699,1603584,19.3986,1369.3058393600002,1713.22,0.0041010925,783,5.8453364,0.8720026165246964
1605632,0.033691406,-0.0017753111,506,3222.5011343955994,1605632,19.876537,1370.2857186200001,1713.22,0.003304034,784,5.8432345,0.8664628267288208
1607680,0.048095703,-0.0017682867,496,3226.5478222370148,1607680,19.93314,1385.92307016,1729.17,0.00413377,785,5.851075,0.8653388917446136
1609728,0.06484375,-0.0017678691,524,3230.6759276390076,1609728,16.571003,1381.08906357,1729.17,0.005516659,786,5.8625555,0.6256778836250305
1611776,0.05883789,-0.0015504176,496,3234.579702615738,1611776,20.124096,1386.3514444099999,1729.17,0.0050412267,787,5.850488,0.8709619641304016
1613824,0.023974609,-0.0049977126,492,3238.701320886612,1613824,12.258081,1371.5512182999996,1714.0,0.0022081835,788,5.8448944,0.9235730841755867
1615872,0.02368164,-0.0025038759,505,3242.859077692032,1615872,20.112309,1388.0105162099997,1730.74,0.0026171883,789,5.838642,0.8724233359098434
1617920,0.07006836,-0.0035554771,492,3246.908888578415,1617920,20.278975,1400.8834839999995,1743.07,0.0051878253,790,5.832696,0.8663640916347504
1619968,0.009667968,-0.0021130675,496,3251.0671648979187,1619968,28.83581,1386.04971683,1727.01,0.0011471185,791,5.8338895,0.8820286840200424
1622016,0.035009764,-0.0024218042,508,3255.1953797340393,1622016,21.454023,1386.3112306900002,1727.01,0.0032694533,792,5.8383265,0.8580518513917923
1624064,0.030712891,-0.0039298786,521,3259.2196662425995,1624064,18.847692,1380.6357085700001,1727.92,0.0025841012,793,5.844497,0.901996448636055
1626112,0.031396486,-0.0018916673,502,3263.1452600955963,1626112,20.110247,1383.6822937500003,1727.92,0.003014468,794,5.8445783,0.8844762668013573
1628160,0.064404294,-0.005313272,496,3267.224502325058,1628160,10.419271,1377.64007051,1727.92,0.005456834,795,5.829923,0.7347946763038635
1630208,0.042333983,-0.0013534509,485,3271.3477640151978,1630208,10.184998,1371.59656804,1727.92,0.0036397192,796,5.8276544,0.9241761416196823
1632256,0.006884766,-0.00054169877,474,3275.5642364025116,1632256,20.309143,1384.5371352299999,1740.06,0.0012392403,797,5.8235984,0.8626353591680527
