ep_reward_mean,time_elapsed,fps,explained_variance,policy_entropy,n_updates,serial_timesteps,value_loss,clipfrac,ep_len_mean,policy_loss,approxkl,total_timesteps
979.0372238899998,1278.4916994571686,487,0.8234374225139618,1.7648141,262,536576,11.441572,0.08486328,1657.86,-0.009703402,0.008691193,536576
989.5611752899999,1282.6957168579102,480,0.8500382602214813,1.7646401,263,538624,8.224147,0.088330075,1672.79,-0.0016065122,0.007451959,538624
994.3657976999998,1286.9627194404602,468,0.7741615027189255,1.7633178,264,540672,13.595884,0.06689453,1678.01,-0.00294767,0.0056322515,540672
1003.6905556300001,1291.3376457691193,473,0.8404909372329712,1.7711456,265,542720,7.7922745,0.06547852,1691.59,-0.00217325,0.005776889,542720
1009.22412924,1295.666006565094,441,0.8466585278511047,1.7734219,266,544768,7.7583275,0.05834961,1699.01,-0.000695659,0.005120407,544768
1022.82583589,1300.3096961975098,412,0.811389297246933,1.7662884,267,546816,11.032488,0.08540039,1718.89,-0.0020643661,0.0067807287,546816
1031.53913749,1305.2702662944794,433,0.8153601884841919,1.7561585,268,548864,8.6194515,0.10117187,1733.49,-0.006595459,0.0091967685,548864
1032.99153149,1309.9999742507935,408,0.8148720115423203,1.7582146,269,550912,11.752882,0.1109375,1735.6,-0.010501215,0.0090112975,550912
1034.4412412799998,1315.010859966278,459,0.8183336853981018,1.7594274,270,552960,8.034891,0.043359376,1735.6,-0.0014915994,0.0036924302,552960
1039.11174679,1319.4723300933838,461,0.7504651695489883,1.7609726,271,555008,10.638279,0.0993164,1742.0,-0.006972841,0.008234241,555008
1043.46914789,1323.90908741951,466,0.8167180120944977,1.7732531,272,557056,10.960852,0.061816406,1748.05,-0.0012223149,0.005416086,557056
1048.40306764,1328.299945116043,452,0.7584500014781952,1.7862467,273,559104,8.945636,0.06669922,1754.7,-0.0039485595,0.0057951617,559104
1056.25716843,1332.8281791210175,450,0.7008445262908936,1.7985389,274,561152,10.833844,0.11606445,1765.83,-0.005390251,0.011714431,561152
1064.0973861100001,1337.3769252300262,467,0.7334230542182922,1.8136736,275,563200,10.703094,0.08881836,1776.18,-0.0013388863,0.007457326,563200
1072.85887585,1341.7612237930298,459,0.7850628346204758,1.827728,276,565248,8.804713,0.062646486,1789.16,-0.0026780947,0.005624631,565248
1085.25854328,1346.221468448639,478,0.770006462931633,1.8307056,277,567296,9.1007395,0.03725586,1809.06,-0.0017305717,0.0034367822,567296
1087.14382515,1350.5047054290771,416,0.8362674564123154,1.8287573,278,569344,8.37502,0.061816406,1810.23,-0.0027255816,0.005704637,569344
1088.33744181,1355.423240661621,407,0.7337350249290466,1.8283341,279,571392,11.438727,0.05673828,1810.23,-0.0022983137,0.0049110134,571392
1089.76888688,1360.4490072727203,411,0.7614366412162781,1.8312635,280,573440,8.397585,0.11923828,1810.23,-0.0036173996,0.008973678,573440
1102.45315384,1365.4268505573273,463,0.7343306839466095,1.8328644,281,575488,9.448634,0.05595703,1830.1,-0.00086344976,0.0047415253,575488
1103.65829568,1369.847484111786,450,0.6791121363639832,1.8410056,282,577536,10.819319,0.097558595,1830.1,-0.0018205196,0.0099288765,577536
