n_updates,total_timesteps,policy_entropy,clipfrac,time_elapsed,approxkl,explained_variance,policy_loss,serial_timesteps,fps,value_loss,ep_len_mean,ep_reward_mean
161,329728,4.5116587,0.035791017,604.9257907867432,0.0032023606,0.9226598292589188,-0.0052647437,329728,574,13.946402,1120.75,759.2755497300001
162,331776,4.510352,0.03984375,608.4925808906555,0.0033859822,0.9120014384388924,-0.0033230546,331776,550,25.173195,1118.34,757.3575564500002
163,333824,4.4996533,0.027246093,612.216415643692,0.0027347063,0.8990615233778954,-0.0015742916,333824,507,19.669962,1118.34,756.41272396
164,335872,4.5010037,0.02055664,616.2508697509766,0.002234443,0.8785642236471176,-0.001428434,335872,518,21.360554,1118.34,755.8058144600001
165,337920,4.501009,0.016601562,620.2053365707397,0.0016189478,0.8003703206777573,-0.0023644338,337920,568,29.059872,1100.62,736.3676313699999
166,339968,4.506255,0.04033203,623.8067696094513,0.0041567385,0.8218512982130051,-0.007637809,339968,535,16.960583,1070.92,707.1012710199998
167,342016,4.5118146,0.07338867,627.6306488513947,0.005572924,0.873092457652092,-0.0049556717,342016,561,21.137619,1087.92,720.7998254999999
168,344064,4.524044,0.039111327,631.281721830368,0.0032529335,0.7616896629333496,-0.0032304316,344064,562,21.796452,1088.35,716.2501212
169,346112,4.525814,0.052734375,634.9230945110321,0.004370108,0.9272361844778061,-0.007270752,346112,560,11.501528,1088.35,714.41023504
170,348160,4.5190125,0.029003907,638.5796048641205,0.00276677,0.8085621446371078,-0.0060828947,348160,581,18.750069,1079.05,704.74986399
171,350208,4.522176,0.06274414,642.1049726009369,0.0060582478,0.9085168242454529,-0.008314673,350208,530,23.888779,1078.42,705.4446686000001
172,352256,4.5170984,0.11367188,645.9635083675385,0.015295249,0.9649459198117256,-0.012644781,352256,508,6.02004,1079.68,706.42651733
173,354304,4.50626,0.01928711,649.9897704124451,0.0017852606,0.6309581995010376,-0.0028979275,354304,580,26.86999,1088.93,713.5251419499998
174,356352,4.5140004,0.07353516,653.5208075046539,0.0059549375,0.8810699284076691,-0.00039179236,356352,529,19.819193,1101.69,725.6379645599998
175,358400,4.5106306,0.07944336,657.3872156143188,0.0063039036,0.8715043514966965,-0.0025440073,358400,526,18.952156,1101.69,726.6612992099998
176,360448,4.516785,0.061425783,661.2812945842743,0.0048097637,0.8896253556013107,-0.005909021,360448,549,19.1557,1101.69,726.9997238699999
177,362496,4.5280476,0.013330078,665.0109374523163,0.0015567632,0.8782663196325302,-0.0020275803,362496,551,30.230793,1086.96,711.9419698600001
178,364544,4.531068,0.03491211,668.7278215885162,0.0028319908,0.9399757981300354,-0.0024051387,364544,529,10.269681,1070.22,700.8881762000002
179,366592,4.532853,0.09858398,672.5987088680267,0.0075529553,0.8733257800340652,-0.0026676473,366592,507,19.17586,1087.05,714.4938725800001
180,368640,4.5352416,0.047949217,676.6333661079407,0.0041817506,0.8782307803630829,-0.0031384497,368640,531,19.725588,1105.21,731.9313454400002
181,370688,4.5348043,0.049072266,680.488269329071,0.004652707,0.8808952420949936,-0.0069261873,370688,501,21.200365,1105.21,733.010881
182,372736,4.5231066,0.030419922,684.5762033462524,0.002995152,0.8731388747692108,-0.0019096121,372736,531,19.597023,1118.9,747.23769795
183,374784,4.5081506,0.038623046,688.4279346466064,0.0036260716,0.8819861859083176,-0.0033321523,374784,526,21.007082,1135.85,764.1014358799999
184,376832,4.508221,0.052734375,692.3150103092194,0.0043310747,0.8799202144145966,-0.0021322651,376832,482,19.812326,1150.74,778.5437429499999
185,378880,4.5000377,0.061816406,696.556722164154,0.0052989754,0.8764137476682663,-0.002570555,378880,535,20.621792,1167.66,795.02202142
186,380928,4.4909377,0.058691405,700.3841528892517,0.0054545994,0.9153984487056732,-0.00032842404,380928,561,23.457384,1154.2,786.30028815
187,382976,4.489623,0.03642578,704.0331480503082,0.0033289094,0.8761610984802246,-0.0008450798,382976,534,19.61047,1165.8,799.74646133
188,385024,4.483152,0.017480468,707.8690340518951,0.0021471025,0.8700058460235596,0.00052208424,385024,524,19.177555,1180.71,815.61902352
189,387072,4.483525,0.037060548,711.7783002853394,0.0032224574,0.8906319588422775,-0.0037823624,387072,552,19.574541,1195.44,831.3843102300001
190,389120,4.4875445,0.03828125,715.4837644100189,0.0036461807,0.8743749558925629,-0.0028518098,389120,561,22.027702,1209.49,844.8807822200001
191,391168,4.4854116,0.03466797,719.1321473121643,0.0032536928,0.8988827541470528,-0.004245672,391168,510,26.868027,1228.5,860.75676108
192,393216,4.479688,0.04472656,723.146265745163,0.0038834605,0.8863654285669327,-0.0028106219,393216,481,19.383419,1245.63,877.71937223
193,395264,4.4802985,0.06123047,727.4036149978638,0.0045734765,0.8694325983524323,-0.0043275068,395264,543,20.288881,1245.63,881.11306442
