fps,serial_timesteps,ep_len_mean,policy_entropy,clipfrac,explained_variance,approxkl,n_updates,policy_loss,total_timesteps,ep_reward_mean,value_loss,time_elapsed
453,327680,1348.0,3.0765119,0.048291016,0.8489153385162354,0.004367612,160,-0.0033086766,327680,855.5484526600001,17.52958,763.9173872470856
453,329728,1249.95,3.066502,0.048095703,0.548083633184433,0.0043804673,161,-0.0054431628,329728,785.77488036,31.579208,768.4344186782837
467,331776,1217.38,3.0497627,0.027880859,0.8817478343844414,0.0028036204,162,-0.0023633793,331776,762.7486292100001,14.548047,772.9503464698792
447,333824,1202.43,3.0411792,0.0296875,0.8238050788640976,0.0030709372,163,-0.0030805343,333824,751.2164415300001,19.89665,777.3348987102509
439,335872,1181.74,3.0404415,0.052001953,0.8994815796613693,0.005273171,164,-0.0031722519,335872,737.1609600799999,11.150478,781.9160554409027
445,337920,1197.32,3.0417845,0.05444336,0.8162548393011093,0.0045886547,165,-0.0033113689,337920,747.4836095400001,9.580801,786.5713515281677
433,339968,1179.13,3.0383725,0.06762695,0.8313038945198059,0.0054015564,166,-0.0065757185,339968,733.6389945400001,13.331983,791.1656031608582
462,342016,1187.88,3.0420804,0.036132812,0.802370622754097,0.0031658553,167,-0.0039719283,342016,738.6463200000002,10.1034355,795.8910686969757
430,344064,1205.96,3.0402544,0.052099608,0.7624057978391647,0.0046349103,168,-0.00034100175,344064,749.8132494800002,11.615088,800.3171181678772
434,346112,1208.5,3.0523374,0.047851562,0.7270727157592773,0.0044231173,169,-0.0055903886,346112,750.8669766499999,23.088924,805.0742106437683
393,348160,1177.6,3.070775,0.022949219,0.831924244761467,0.0021502315,170,-0.005254741,348160,729.1744281899998,14.9895525,809.7924113273621
400,350208,1164.38,3.0797102,0.05,0.7834737747907639,0.0045665624,171,-0.006294664,350208,719.52789613,25.544601,814.9976553916931
124,352256,1164.38,3.0881586,0.10180664,0.4930912256240845,0.0074665635,172,-0.0053922734,352256,709.8347818000001,4.844716,820.1117622852325
431,354304,1164.38,3.0856361,0.015234375,0.769649401307106,0.001774491,173,-0.0021005494,354304,710.1071775300001,12.935954,836.5635294914246
411,356352,1143.88,3.082918,0.026660156,0.9070496782660484,0.0025961706,174,-0.003505048,356352,696.8265558100002,11.508202,841.3124978542328
364,358400,1095.25,3.080456,0.01430664,0.7957111746072769,0.0015152998,175,-0.0029375118,358400,662.2924350799999,22.040615,846.2906498908997
374,360448,1095.25,3.0775895,0.025048828,0.8191343396902084,0.002589873,176,-0.0030777282,360448,661.2216845199999,10.03675,851.9172737598419
388,362496,1029.06,3.0794444,0.023974609,0.7183957099914551,0.0024054272,177,-0.004337375,362496,613.3941492199999,20.658916,857.3860001564026
385,364544,1019.36,3.0861523,0.017871093,0.8565598130226135,0.001904425,178,-0.0020029857,364544,606.6027077599999,7.6626663,862.6595964431763
351,366592,996.2,3.0944726,0.061621092,0.8639457672834396,0.005593201,179,-0.006448516,366592,589.3914082699999,12.379651,867.9685544967651
333,368640,990.3,3.1007607,0.029199218,0.7929171472787857,0.0025766627,180,-0.0036552423,368640,585.3918073699999,21.763103,873.7928025722504
