n_updates,fps,explained_variance,approxkl,policy_entropy,clipfrac,policy_loss,time_elapsed,serial_timesteps,total_timesteps,value_loss,ep_len_mean,ep_reward_mean
224,463,0.017706990242004395,0.0010646386,4.5438604,0.008007812,0.0001465207,1168.9739801883698,458752,458752,19.197483,1381.99,1375.8334980500001
225,456,0.6845917105674744,0.0022652163,4.540614,0.021191407,0.00051882805,1173.3915839195251,460800,460800,20.418186,1381.99,1375.63154147
226,457,0.035108745098114014,0.0061281263,4.539102,0.082617186,-0.00017078768,1177.8779881000519,462848,462848,18.88591,1381.99,1375.3692463500001
227,445,0.03800833225250244,0.0020348183,4.5438995,0.017089844,-0.00036286452,1182.3522503376007,464896,464896,18.8634,1402.21,1395.3432169799999
228,446,0.04586386680603027,0.003104747,4.5497146,0.029785156,-0.00065266027,1186.9495384693146,466944,466944,18.82672,1402.21,1395.09583697
229,482,0.04330408573150635,0.0050778156,4.551563,0.061425783,-0.001498349,1191.5397300720215,468992,468992,18.759203,1402.21,1394.8427982199998
230,467,0.6897781789302826,0.0043744226,4.5527773,0.046044923,-0.0015008572,1195.78750538826,471040,471040,19.697742,1402.22,1394.5564836599997
231,405,0.05576467514038086,0.0065258024,4.550289,0.089746095,-0.0016914984,1200.16668176651,473088,473088,18.39285,1402.22,1394.24419649
232,462,0.043328046798706055,0.0055063358,4.5566993,0.06713867,-0.0041681416,1205.2116582393646,475136,475136,18.639578,1422.44,1414.1221208099998
233,380,0.8943125009536743,0.00307674,4.5582237,0.03125,-0.0021403597,1209.637669801712,477184,477184,28.300776,1341.61,1333.1511426500003
234,432,0.116263747215271,0.0017765702,4.5601068,0.014111328,-0.0005239885,1215.0205636024475,479232,479232,17.731981,1361.83,1352.9617565400001
235,475,0.08119267225265503,0.003227293,4.5704117,0.034228515,-0.0011037427,1219.760665178299,481280,481280,18.159662,1361.83,1352.60243116
236,430,0.13931143283843994,0.0037064948,4.5845194,0.04399414,-0.00067028974,1224.070261478424,483328,483328,17.661922,1361.83,1352.22472148
