n_updates,fps,clipfrac,explained_variance,total_timesteps,ep_len_mean,value_loss,time_elapsed,policy_loss,approxkl,serial_timesteps,policy_entropy,ep_reward_mean
108,580,0.064697266,0.20222628116607666,221184,1908.28,1.5137938,380.3350074291229,-0.00068906986,0.0052364217,221184,1.7898715,444.58235321
109,563,0.056689452,0.22310149669647217,223232,1923.4,1.5997102,383.8635697364807,-0.0031615854,0.0048112934,223232,1.8049345,449.49640538000006
110,561,0.06289063,0.2068985104560852,225280,1936.7,1.6550486,387.5014810562134,-0.0017809181,0.004890768,225280,1.8220272,454.24901679999994
111,581,0.052490234,0.2674240469932556,227328,1953.33,1.5203596,391.14744448661804,-0.0039475206,0.004283595,227328,1.8294961,459.37798388000004
112,563,0.06713867,0.22376292943954468,229376,1968.01,1.5707875,394.6703197956085,-0.0002701466,0.005203248,229376,1.845979,464.35484589
113,567,0.062304687,0.18112266063690186,231424,1983.29,1.5556853,398.3064019680023,-0.0028397352,0.0052583106,231424,1.8526495,469.35624265
114,584,0.08359375,0.1535460352897644,233472,1997.69,1.6058811,401.91806149482727,-0.0040960023,0.0065673357,233472,1.8527813,474.26870035
115,579,0.042529296,0.13572585582733154,235520,2013.67,1.5975481,405.4249725341797,-0.0022962056,0.003614263,235520,1.8571678,479.38843345000004
116,582,0.07094727,0.19560110569000244,237568,2028.4,1.66705,408.9609649181366,-0.00044323495,0.0054849377,237568,1.8571551,484.43600849
117,575,0.08823242,0.11791712045669556,239616,2042.78,1.7138231,412.47852993011475,-0.002513049,0.007123238,239616,1.848403,489.4893851
118,558,0.041308593,0.1888177990913391,241664,2049.0,1.700594,416.03810596466064,0.00044235928,0.0035326253,241664,1.8557823,493.71315884
119,564,0.056640625,0.25572502613067627,243712,2049.0,1.6006873,419.7077088356018,-0.0016673997,0.0047760177,243712,1.8675203,497.17539121000004
120,566,0.06147461,0.2634096145629883,245760,2049.0,1.6073265,423.336443901062,-0.0015344222,0.0052077575,245760,1.8667542,500.4737732
121,562,0.08295898,0.26520490646362305,247808,2049.0,1.6888851,426.9529049396515,-0.0066948174,0.0063092746,247808,1.8639416,503.83414555999997
122,564,0.05913086,0.2506728768348694,249856,2049.0,1.8383108,430.5945475101471,2.6222348e-05,0.0051468215,249856,1.8587561,507.32147427
123,558,0.119628906,0.2664939761161804,251904,2049.0,1.7946541,434.2212302684784,-0.006455773,0.008844233,251904,1.8595555,510.76507547
124,564,0.07734375,0.2670924663543701,253952,2049.0,1.9183584,437.8917317390442,-0.002713345,0.0060671894,253952,1.8743559,514.11956589
125,563,0.06416015,0.27505552768707275,256000,2049.0,1.9909923,441.5203447341919,-0.0021762713,0.005385411,256000,1.8905287,517.64185083
126,559,0.06591797,0.3061235547065735,258048,2049.0,1.9648235,445.15928864479065,-0.001282955,0.0053122262,258048,1.8991696,520.9688596899999
127,560,0.06738281,0.31621217727661133,260096,2049.0,1.9149758,448.81762886047363,-0.0030378383,0.005485784,260096,1.8968064,524.2043727099999
128,567,0.09467773,0.33549535274505615,262144,2049.0,1.9587063,452.47181248664856,-0.002266684,0.007097529,262144,1.9030364,527.2176251
129,566,0.07705078,0.25574517250061035,264192,2049.0,2.202349,456.08073925971985,-0.0031630802,0.0064095645,264192,1.9070343,530.41160997
130,563,0.056933593,0.39511436223983765,266240,2049.0,2.3217807,459.6967363357544,-0.0029788888,0.004569602,266240,1.9239509,533.72842468
131,564,0.0737793,0.33372896909713745,268288,2049.0,2.0587928,463.3344385623932,-0.0038404823,0.0059506693,268288,1.9311845,536.9684655
132,555,0.070410155,0.34615910053253174,270336,2049.0,2.477613,466.9657588005066,-0.0026801324,0.005647726,270336,1.9299967,540.3462170099999
133,540,0.04296875,0.3338187336921692,272384,2049.0,2.3892565,470.65064787864685,-0.0025341017,0.0037056983,272384,1.9333607,543.8933557699999
134,549,0.04033203,0.38605332374572754,274432,2049.0,2.5003822,474.4423909187317,-0.0013714067,0.0036677972,274432,1.9456459,547.5260986899999
135,563,0.06367187,0.4070841670036316,276480,2049.0,3.0912535,478.1707592010498,-0.0035727296,0.0052505755,276480,1.9424461,551.4640260299999
136,578,0.06298828,0.4513413906097412,278528,2049.0,3.9537835,481.8055875301361,-0.0028474801,0.0054737544,278528,1.9279543,556.05045219
137,572,0.014013672,0.3792681097984314,280576,2049.0,4.078174,485.34875679016113,-0.0027616317,0.001824202,280576,1.9076865,560.30910683
138,575,0.08876953,0.466239869594574,282624,2049.0,4.0235095,488.9295828342438,-0.0061236927,0.006552697,282624,1.9055074,564.7059581499999
139,588,0.05913086,0.48355841636657715,284672,2049.0,3.8319309,492.48642015457153,-0.004531701,0.004600369,284672,1.9130789,569.2932027500001
140,583,0.035009764,0.4414975047111511,286720,2049.0,3.877398,495.9697382450104,-0.0012349477,0.0033794746,286720,1.9084394,573.51218048
141,584,0.014355469,0.47341078519821167,288768,2049.0,3.6033416,499.48202681541443,-0.0014156189,0.0019355062,288768,1.8939159,577.68593448
142,575,0.031445313,0.4865942597389221,290816,2049.0,3.6444416,502.98397493362427,-0.002744229,0.0030970913,290816,1.8880689,581.8021628500001
143,553,0.05673828,0.5363650023937225,292864,2049.0,3.0805492,506.5420069694519,-0.0035758174,0.00456688,292864,1.9030449,585.40805972
144,565,0.026171874,0.5371797680854797,294912,2049.0,3.3499827,510.24098110198975,-0.0028270972,0.0028189304,294912,1.9046023,588.52600221
145,588,0.027929688,0.4881885051727295,296960,2049.0,3.8638012,513.8653681278229,-0.00085327105,0.0027820058,296960,1.8964316,592.45978265
146,592,0.035351563,0.5266915857791901,299008,2049.0,5.0817747,517.3443248271942,-0.002266623,0.003504057,299008,1.8927991,597.12272871
147,575,0.025732422,0.5588732063770294,301056,2049.0,4.1204214,520.8041501045227,-0.0033622836,0.0029405598,301056,1.891688,601.23529194
148,576,0.05029297,0.42256999015808105,303104,2049.0,3.6524231,524.3624632358551,-0.0020566764,0.004245903,303104,1.8872406,604.9274927700001
149,587,0.027246093,0.5647460520267487,305152,2049.0,4.4647975,527.9124958515167,-0.004055177,0.0027293107,305152,1.8857758,609.3042552999999
150,576,0.029394532,0.5779978632926941,307200,2049.0,3.7098145,531.3986973762512,-0.0018100243,0.0027614362,307200,1.8982996,613.34916953
151,583,0.039160155,0.6504591405391693,309248,2044.47,3.243512,534.9549856185913,-0.0053783185,0.0034244307,309248,1.9025158,615.27328742
152,588,0.034179688,0.6556732356548309,311296,2040.58,3.6363225,538.4680726528168,-0.0025709239,0.0031108605,311296,1.9084413,617.5618609
153,585,0.0715332,0.6050969660282135,313344,2034.95,3.5110989,541.9473235607147,-0.0053128796,0.005704702,313344,1.9156463,618.8079802899999
154,579,0.012060547,0.5484186708927155,315392,2029.43,6.5762873,545.4429631233215,-0.0017762895,0.0014140789,315392,1.9164482,625.1344477099999
155,585,0.03100586,0.617613822221756,317440,2014.03,5.699718,548.9772796630859,-0.004388666,0.0030980795,317440,1.9141512,626.8295871400001
156,584,0.042333983,0.8204093128442764,319488,2010.46,3.2109203,552.4744830131531,-0.0041037286,0.0036601077,319488,1.9203446,630.09602241
157,518,0.052978516,0.7179796099662781,321536,2000.8,3.2884026,555.9769387245178,-0.004017948,0.004480582,321536,1.9251108,629.77026885
158,386,0.051074218,0.7623306959867477,323584,1999.7,4.126216,559.9307727813721,-0.004169817,0.0042443885,323584,1.9165742,634.1738436200001
159,490,0.028808594,0.7088718116283417,325632,1987.64,5.680762,565.2276232242584,-0.0034763739,0.003256245,325632,1.90229,638.0155359900001
160,489,0.029638672,0.6139368116855621,327680,1987.64,5.069012,569.4064111709595,-0.0011151457,0.0030118886,327680,1.8953422,643.6386083100001
161,499,0.038964845,0.6367251574993134,329728,1977.1,5.177798,573.5894014835358,-0.0023506617,0.003741122,329728,1.8896983,643.29985348
162,498,0.0058105467,0.5703524649143219,331776,1949.27,9.552809,577.6909596920013,-0.002049835,0.0014954371,331776,1.8868058,644.58160079
163,490,0.017626952,0.774179607629776,333824,1925.53,5.273572,581.80033826828,-0.0011082629,0.0019978397,333824,1.8860998,642.72766629
164,471,0.029101562,0.6535376310348511,335872,1885.09,9.04057,585.978556394577,-0.0020153746,0.0030015789,335872,1.8905216,637.44497786
165,554,0.018554688,0.658313661813736,337920,1848.1,9.244755,590.3200562000275,-0.00091060175,0.0016301923,337920,1.8889267,634.35163102
166,572,0.010546875,0.690470427274704,339968,1823.61,6.3361387,594.0135183334351,-0.0022671022,0.0014934778,339968,1.8921198,632.32371872
