approxkl,policy_loss,time_elapsed,fps,total_timesteps,ep_len_mean,policy_entropy,clipfrac,explained_variance,n_updates,serial_timesteps,value_loss,ep_reward_mean
0.005875355,-0.005894621,614.8448958396912,611,360448,550.58,2.0525951,0.068798825,0.8265959322452545,176,360448,8.657686,267.31385855
0.0033626673,-0.0031062446,618.1922924518585,564,362496,517.39,2.0457046,0.03569336,0.7535585910081863,177,362496,13.517031,251.73348056999995
0.0022025954,-0.001433332,621.8203799724579,588,364544,487.44,2.0506206,0.019580077,0.7835559546947479,178,364544,13.348715,238.02842801
0.0025064764,-0.0020465418,625.3002989292145,578,366592,476.51,2.0521839,0.021679688,0.7192080318927765,179,366592,15.553413,232.80870711
0.0026358513,-0.0015820737,628.8433485031128,619,368640,464.96,2.051876,0.025097657,0.7876242399215698,180,368640,16.25168,227.54787843999998
0.003463478,-0.0057494817,632.1495771408081,600,370688,455.1,2.050901,0.036132812,0.7698012590408325,181,370688,12.564487,223.08398206
0.003431709,-0.0047270283,635.5593204498291,615,372736,450.96,2.0518765,0.04033203,0.818673774600029,182,372736,11.745839,221.86613253000004
0.0025322675,-0.002827926,638.8890326023102,608,374784,443.47,2.0507426,0.025390625,0.8493241369724274,183,374784,9.699572,217.91175520999994
0.0021660603,-0.0024792766,642.2540409564972,625,376832,442.46,2.0557225,0.01850586,0.8665010929107666,184,376832,8.24938,218.45603029000003
0.0034049756,-0.004263887,645.5281362533569,627,378880,435.07,2.0584345,0.03388672,0.7791364789009094,185,378880,15.720021,214.50678877
0.0023964455,-0.0023928701,648.7897927761078,600,380928,430.98,2.0683198,0.0234375,0.8486125469207764,186,380928,8.752756,212.38707359999998
0.0025396892,-0.0028130687,652.1992812156677,602,382976,436.33,2.08226,0.02602539,0.8917867988348007,187,382976,6.65154,215.61106627
0.0025246062,-0.0039106095,655.596949338913,623,385024,432.89,2.0939565,0.028222656,0.8076145499944687,188,385024,11.332939,214.21641254999997
0.0041804523,-0.0042080404,658.8826627731323,603,387072,430.44,2.0957365,0.04584961,0.8683624714612961,189,387072,9.426901,213.48364205
0.0035996034,-0.003544046,662.2742013931274,565,389120,432.11,2.0985856,0.038330078,0.8229306638240814,190,389120,11.469113,214.84793910000005
