explained_variance,time_elapsed,value_loss,ep_len_mean,serial_timesteps,fps,ep_reward_mean,policy_loss,total_timesteps,n_updates,approxkl,clipfrac,policy_entropy
0.9259912520647049,470.5007791519165,10.116578,1532.48,258048,539,993.0473266000001,-0.0055784406,258048,126,0.0045359964,0.049462892,3.7167697
0.8789050653576851,474.29762387275696,10.4826565,1532.48,260096,567,995.4782540300001,-0.0022565927,260096,127,0.0036508236,0.04375,3.7173061
0.8904377967119217,477.9051229953766,9.60846,1534.56,262144,565,997.5991198099999,-0.0036879661,262144,128,0.0033740737,0.03959961,3.7290206
0.8266774863004684,481.52848410606384,14.255503,1549.64,264192,566,1009.43142447,-0.002519241,264192,129,0.0027944217,0.031103516,3.7405496
0.7455203831195831,485.1436266899109,26.158512,1535.06,266240,565,997.5006369200001,-0.003665451,266240,130,0.0030010357,0.0328125,3.7482128
0.9421427771449089,488.76347279548645,5.9242263,1534.99,268288,562,997.66399384,-0.003450911,268288,131,0.0036182168,0.03852539,3.7449086
0.8505908399820328,492.4038631916046,11.833768,1549.04,270336,558,1008.6158974900001,-0.0019022822,270336,132,0.002560184,0.025830079,3.7268028
0.8313974291086197,496.069354057312,13.969844,1553.61,272384,588,1011.59460076,-0.0053310813,272384,133,0.00336889,0.04033203,3.7207954
0.863777682185173,499.5502419471741,20.353848,1543.35,274432,562,1004.61531448,-0.0027264734,274432,134,0.0026543806,0.026367188,3.739315
0.8947878181934357,503.19479060173035,14.531824,1508.76,276480,576,981.92190696,-0.004458447,276480,135,0.003349701,0.03828125,3.753233
0.8645731955766678,506.74909806251526,16.101822,1510.07,278528,569,984.1377621099999,-0.0032423302,278528,136,0.0020923386,0.02060547,3.7555618
0.7260797917842865,510.3480727672577,11.926671,1510.07,280576,558,983.13506154,-0.0011234296,280576,137,0.0057188906,0.0675293,3.7576413
0.7764552384614944,514.0169169902802,10.4556265,1510.07,282624,552,982.0637327500001,-0.00015274828,282624,138,0.0032453337,0.035351563,3.7600894
0.9097622558474541,517.7242107391357,6.414107,1510.0,284672,534,982.06650241,-0.006676753,284672,139,0.0045892904,0.050976563,3.7501957
0.8566129505634308,521.5555944442749,15.737419,1503.82,286720,561,974.6006459199999,-0.0042847027,286720,140,0.0021752943,0.021777343,3.7609706
0.9351024478673935,525.2039287090302,5.3169603,1511.6,288768,566,981.0019167500001,-0.0019276278,288768,141,0.002492067,0.027001953,3.7620559
0.8457343131303787,528.8194561004639,14.660741,1511.42,290816,559,981.0117274500001,-0.005536192,290816,142,0.0042825723,0.051660158,3.7476583
0.8397327959537506,532.4789507389069,13.855284,1497.95,292864,508,968.96638574,-0.006916913,292864,143,0.004675565,0.055029295,3.760163
