n_updates,policy_loss,value_loss,total_timesteps,approxkl,serial_timesteps,time_elapsed,ep_len_mean,clipfrac,explained_variance,ep_reward_mean,policy_entropy,fps
159,-0.0051285285,13.744484,325632,0.006284956,325632,734.6025769710541,901.92,0.07070313,0.7846269756555557,486.3526695399999,1.9014088,469
160,-0.0020788205,5.1623836,327680,0.0038719638,327680,738.9613964557648,907.65,0.039404295,0.8197995871305466,489.77501555,1.9054377,471
161,-0.0048724758,13.615598,329728,0.004825813,329728,743.3083019256592,925.07,0.05341797,0.6965537369251251,501.59585697,1.9022862,464
162,-0.0048455703,6.2902975,331776,0.004311609,331776,747.7138690948486,927.79,0.04765625,0.7789538651704788,503.46442107999997,1.9020694,457
163,0.00085153244,7.9788055,333824,0.0055343863,333824,752.1873061656952,940.71,0.05698242,0.7040515542030334,512.1386203200001,1.8978012,478
164,-0.006352005,6.757869,335872,0.0058562076,335872,756.4640369415283,956.62,0.067919925,0.7928559631109238,522.68728593,1.9017807,483
165,-0.0050896043,8.20736,337920,0.0039271256,337920,760.6973423957825,969.67,0.046289064,0.7102327942848206,532.09704695,1.9164512,468
166,-3.3305491e-06,9.687459,339968,0.0043507954,339968,765.070070028305,983.37,0.048193358,0.6287708878517151,541.5959733000001,1.923571,491
167,0.00092032226,6.9004583,342016,0.0052971407,342016,769.238799571991,998.35,0.060058594,0.7127364575862885,551.8890512300001,1.9253527,453
168,0.0011199029,6.925049,344064,0.0040745703,344064,773.7561860084534,1008.91,0.047949217,0.7320857644081116,559.5151162300001,1.9380596,480
169,-0.0016224149,9.111314,346112,0.0045573083,346112,778.0225157737732,1021.99,0.05131836,0.7036087810993195,568.27400621,1.9384956,469
170,-0.0004953809,8.837114,348160,0.004582477,348160,782.3823308944702,1038.8,0.05415039,0.7229742407798767,579.4660763900001,1.932299,478
171,-0.0008997418,8.790358,350208,0.00449927,350208,786.6629512310028,1053.86,0.051416017,0.7800262719392776,589.58592916,1.9289427,483
172,-0.000249886,8.189687,352256,0.003159405,352256,790.8995456695557,1066.11,0.03286133,0.7539655268192291,598.36815588,1.9193188,472
173,-0.0026251923,8.94303,354304,0.0045946017,354304,795.2353565692902,1079.68,0.05678711,0.7092002928256989,608.1009332900001,1.9125141,483
174,-0.0037473578,12.39609,356352,0.0048681856,356352,799.4731261730194,1096.7,0.055566408,0.361852765083313,619.86181947,1.9137394,441
175,-0.0011601789,9.42771,358400,0.004000286,358400,804.1074120998383,1113.47,0.0496582,0.567696750164032,630.40433813,1.9220097,428
176,-0.00039601332,8.28011,360448,0.003974397,360448,808.887157201767,1125.74,0.043164063,0.6879848837852478,638.34709441,1.9295988,459
177,-0.007628596,8.4441805,362496,0.010605154,362496,813.346798658371,1143.26,0.12758788,0.6407112181186676,650.07547799,1.9476875,447
178,-0.0008203854,7.721673,364544,0.0040961197,364544,817.9264497756958,1158.16,0.04399414,0.6871309876441956,659.56747612,1.9535729,454
179,-0.0015882287,9.012234,366592,0.006633518,366592,822.431802034378,1172.92,0.07851563,0.7357307076454163,669.56065232,1.953425,483
180,-0.0037657046,7.760482,368640,0.006583692,368640,826.668550491333,1188.79,0.08540039,0.7526588290929794,680.07147582,1.9710228,469
181,-0.0030709512,10.101859,370688,0.0046874797,370688,831.0322444438934,1203.9,0.055615235,0.6476717889308929,690.25828357,1.9712408,469
182,-0.0036922004,9.867113,372736,0.0063184677,372736,835.3919677734375,1222.56,0.0803711,0.7111935019493103,702.6029451300002,1.9656385,480
183,-0.002084905,7.8567247,374784,0.006249986,374784,839.658793926239,1238.19,0.0769043,0.7704790383577347,712.5467376400001,1.9623932,482
184,-0.0014676675,8.020704,376832,0.006518892,376832,843.9059860706329,1255.04,0.08129883,0.7306776940822601,723.6797909400001,1.9642185,474
185,0.00012627066,10.634622,378880,0.0045554107,378880,848.2194790840149,1271.75,0.05292969,0.6878076195716858,735.4306108699999,1.9659342,485
186,-0.002382588,10.777546,380928,0.0069695837,380928,852.4351036548615,1285.73,0.08554687,0.6280964314937592,745.3839913999999,1.9604095,486
187,-0.0054118745,16.703892,382976,0.005410802,382976,856.6462128162384,1304.48,0.066552736,0.6114079654216766,758.05365937,1.96271,483
188,-0.0005323803,7.9113493,385024,0.005885834,385024,860.8813247680664,1320.74,0.0734375,0.765123039484024,769.5668346400001,1.9566883,485
189,-0.0048115654,10.537999,387072,0.0056078387,387072,865.1004686355591,1334.58,0.058789063,0.6868758499622345,779.8555425800001,1.9497483,461
190,-9.782713e-05,6.8283334,389120,0.0044887513,389120,869.5376241207123,1340.96,0.047509767,0.8543623685836792,783.6995011100001,1.9600258,497
191,-0.002267637,10.137106,391168,0.00574632,391168,873.6517844200134,1353.48,0.0746582,0.6984774470329285,792.6667012600001,1.9694,473
192,-0.0016938358,9.639887,393216,0.0031185325,393216,877.9813365936279,1370.45,0.032128908,0.7894211709499359,804.61308796,1.971679,476
193,-0.0004849188,7.5483923,395264,0.0054285326,395264,882.2775413990021,1387.22,0.059814453,0.7994218468666077,815.2680281099998,1.9623425,478
194,-0.0050278665,10.862545,397312,0.006030538,397312,886.5591564178467,1400.42,0.074072264,0.5352675020694733,825.0900825399999,1.9615784,478
195,-0.004720219,15.203687,399360,0.00525728,399360,890.8359653949738,1415.61,0.056152344,0.7258188128471375,834.7872720099999,1.9770949,491
196,-0.0015759853,9.914282,401408,0.0031121722,401408,895.0006747245789,1432.26,0.031396486,0.7164936363697052,846.0860762099998,1.977266,470
197,-0.0016698377,5.9366846,403456,0.0050741136,403456,899.3575737476349,1442.78,0.05517578,0.8454044163227081,853.0974350799997,1.9801104,489
198,-0.002657623,14.550839,405504,0.004271633,405504,903.5427684783936,1458.29,0.04926758,0.7294240295886993,864.45890921,1.9868801,489
199,-0.0047803377,4.8614397,407552,0.003866288,407552,907.7261669635773,1456.54,0.040722657,0.8807979077100754,863.16303455,1.9948347,473
200,-0.0024880194,8.622705,409600,0.008844363,409600,912.0503826141357,1472.33,0.1059082,0.7240466475486755,874.7316648299999,2.002442,469
201,-0.0018632065,20.892788,411648,0.0066790297,411648,916.4138867855072,1486.23,0.07485352,0.6286898851394653,885.1760150500002,2.005218,486
202,-0.0010353781,10.09833,413696,0.0033180173,413696,920.6202492713928,1498.46,0.0340332,0.7054854035377502,892.0011921800001,2.0045924,460
203,-0.008852958,5.8033924,415744,0.008595683,415744,925.0678124427795,1497.11,0.103125,0.8447988629341125,891.61468089,2.0070777,468
204,-0.00509401,8.756244,417792,0.009322399,417792,929.4403567314148,1510.08,0.117041014,0.6941034495830536,901.06071909,2.0173728,477
205,-0.0002426358,9.381386,419840,0.0053129457,419840,933.7290663719177,1523.94,0.05908203,0.7187513709068298,911.07871025,2.0128758,484
206,-0.002565364,8.406504,421888,0.0097142225,421888,937.956226348877,1537.65,0.11459961,0.6804867088794708,921.22515554,2.0072455,476
207,-0.002069989,11.272862,423936,0.0065859123,423936,942.2569842338562,1544.62,0.075976565,0.6897682547569275,927.6933118899999,2.0071757,460
208,-0.002333863,17.169144,425984,0.006445121,425984,946.7037260532379,1529.7,0.07792969,0.6902220547199249,920.5947458400001,2.012092,478
209,0.00021782536,10.490924,428032,0.006151686,428032,950.9855189323425,1535.72,0.07285156,0.5669976472854614,926.4431466000002,2.028214,477
210,-0.003828567,9.104513,430080,0.007312359,430080,955.2747616767883,1545.04,0.08662109,0.7298913896083832,933.89575848,2.0471103,471
211,-0.0025299848,11.479055,432128,0.006658344,432128,959.6198823451996,1555.66,0.08232422,0.5930350422859192,941.84138881,2.0566308,477
212,-0.0019505902,14.941897,434176,0.0042527746,434176,963.9068553447723,1571.44,0.046679687,0.7208385765552521,953.43960487,2.0640583,468
213,-0.0023382423,8.585718,436224,0.0061990866,436224,968.2828180789948,1591.31,0.07314453,0.6903028190135956,966.76367067,2.0771146,473
214,-0.0017168063,10.773735,438272,0.008676134,438272,972.6099116802216,1604.25,0.11147461,0.6309359669685364,976.33696789,2.0877423,474
215,-0.0022192053,6.84109,440320,0.0047183353,440320,976.927491903305,1608.41,0.057617188,0.8276231735944748,979.98032193,2.099227,470
216,-0.0029029674,9.477922,442368,0.004508669,442368,981.2826414108276,1619.96,0.053125,0.7755328714847565,986.71209161,2.098503,481
217,-0.0015799114,11.356954,444416,0.0043929433,444416,985.5389037132263,1631.74,0.050976563,0.6971248090267181,993.9880761400001,2.0911317,473
218,-0.003926903,8.440191,446464,0.0056785075,446464,989.8643434047699,1642.74,0.06894531,0.7630386054515839,1002.29772102,2.0939393,484
219,-0.004134274,8.8155775,448512,0.005008182,448512,994.0886991024017,1652.21,0.057666015,0.8006211966276169,1010.36665972,2.0938964,477
220,-0.0018081864,11.901825,450560,0.006302969,450560,998.37539935112,1657.71,0.06689453,0.7591746747493744,1013.7946657500001,2.0927615,494
221,0.00038150974,8.556729,452608,0.0042313235,452608,1002.5207989215851,1666.85,0.050732423,0.7730388790369034,1021.1707964800001,2.0926173,475
222,-0.002158444,10.443339,454656,0.0042318394,454656,1006.8266530036926,1672.02,0.050341796,0.7490758001804352,1025.9784780100003,2.1073961,475
223,-0.0015426136,5.4821534,456704,0.005073399,456704,1011.1334145069122,1675.5,0.056640625,0.8507500737905502,1027.7394463300002,2.1190436,503
224,-0.0035249672,11.822843,458752,0.007452877,458752,1015.2011511325836,1675.5,0.08706055,0.506192535161972,1028.33368853,2.1224148,467
225,-0.005449543,17.854992,460800,0.0055528497,460800,1019.5779254436493,1673.37,0.0659668,0.6852428615093231,1027.63547319,2.1344492,479
226,-0.002707046,9.06632,462848,0.0039513553,462848,1023.8526763916016,1675.28,0.04638672,0.7131038308143616,1030.28753524,2.1508734,434
227,-0.0038865854,17.103107,464896,0.0056516575,464896,1028.5660762786865,1672.48,0.058203124,0.7183855175971985,1029.98489551,2.1514316,463
228,-0.0020566457,7.9785256,466944,0.0052760933,466944,1032.9831750392914,1679.38,0.061181642,0.808630183339119,1035.82626424,2.1471767,483
229,-0.006471012,5.9844604,468992,0.0070051127,468992,1037.2221941947937,1671.49,0.07978515,0.8292559236288071,1031.2522754000001,2.1459723,459
230,-0.003655204,17.444508,471040,0.0046461266,471040,1041.683221578598,1666.21,0.050585937,0.732776015996933,1028.54916876,2.1414876,481
231,-0.0009688001,10.510588,473088,0.004067223,473088,1045.9412562847137,1679.93,0.046435546,0.6771549582481384,1038.06366176,2.1350675,462
232,-0.0042021773,8.48524,475136,0.005757111,475136,1050.3696506023407,1690.92,0.06870117,0.7356088161468506,1046.68534229,2.136042,487
233,-0.0015664687,10.156176,477184,0.0036245051,477184,1054.5669269561768,1691.36,0.040234376,0.6628833711147308,1048.02355062,2.1370544,475
234,-0.0022938717,11.072804,479232,0.00466423,479232,1058.8734722137451,1701.53,0.053613283,0.7695877701044083,1054.93063391,2.1286585,487
235,-0.0036710768,8.255833,481280,0.0065235435,481280,1063.078454732895,1701.53,0.08339844,0.7430289089679718,1055.7345514999997,2.1307552,492
236,-0.001645515,8.829881,483328,0.0038791343,483328,1067.2336497306824,1701.53,0.045898438,0.7644893974065781,1057.42367317,2.1455622,478
237,0.00036043493,10.485603,485376,0.004693406,485376,1071.5160748958588,1701.53,0.05605469,0.7247995436191559,1057.89641143,2.14883,469
238,4.8771344e-05,11.530021,487424,0.0051444704,487424,1075.8754601478577,1701.53,0.0597168,0.6121869385242462,1058.9916962000002,2.1440246,486
239,-0.005950646,7.6586647,489472,0.0077532097,489472,1080.0853435993195,1701.53,0.09628906,0.7682857066392899,1059.69893344,2.1396718,497
