value_loss,approxkl,explained_variance,serial_timesteps,time_elapsed,fps,total_timesteps,n_updates,policy_loss,clipfrac,policy_entropy,ep_reward_mean,ep_len_mean
10.097927,0.003778968,0.8797883614897728,686080,1522.896158695221,421,686080,335,-0.0012152307,0.042529296,3.6196332,991.87784657,1497.28
7.33225,0.0046143318,0.8859678730368614,688128,1527.7608592510223,434,688128,336,-0.003809578,0.04863281,3.6158118,987.85181863,1492.62
10.969622,0.004892971,0.8288892805576324,690176,1532.4696834087372,416,690176,337,-0.0024693476,0.058251955,3.6137223,1001.0973356000001,1509.32
13.2230425,0.005277515,0.8108600527048111,692224,1537.3842775821686,408,692224,338,-0.0021411185,0.06645508,3.6112854,1001.70179699,1509.32
24.230465,0.0049105873,0.7739305347204208,694272,1542.3954458236694,425,694272,339,-0.004148839,0.051953126,3.6197689,995.9664452600002,1499.46
9.220162,0.005650807,0.8122404366731644,696320,1547.2052690982819,424,696320,340,-0.0053729257,0.0637207,3.6447196,983.8213539600001,1483.27
10.694718,0.0065546418,0.7674727439880371,698368,1552.033896446228,421,698368,341,-0.0049820063,0.076171875,3.6462886,983.5334185900001,1483.27
21.084665,0.0042575463,0.7688665986061096,700416,1556.8952038288116,423,700416,342,-0.0028750282,0.04350586,3.648417,984.1989695999999,1485.01
17.459545,0.0041951826,0.8045888245105743,702464,1561.7339544296265,429,702464,343,-0.0025767297,0.048339844,3.646253,972.2904120800001,1467.75
10.156573,0.00557179,0.8221538215875626,704512,1566.5062646865845,416,704512,344,-0.010082254,0.06914063,3.644711,972.0982538700002,1467.75
15.081194,0.004351535,0.8666111379861832,706560,1571.4208908081055,404,706560,345,-0.00086146814,0.04350586,3.643893,974.1001051600002,1468.9
10.611883,0.0036464084,0.8144187331199646,708608,1576.487821340561,430,708608,346,-0.004166873,0.04140625,3.6475728,974.0055554300001,1468.9
19.900331,0.004006635,0.8217386156320572,710656,1581.2450957298279,426,710656,347,-0.004356548,0.044873048,3.6488616,975.3793940400001,1469.39
19.21752,0.004640734,0.8396963179111481,712704,1586.0477514266968,413,712704,348,-0.003592988,0.046826173,3.634034,978.24825002,1471.65
12.817156,0.004069768,0.8335526436567307,714752,1591.00643992424,432,714752,349,-0.003359242,0.046484374,3.6228244,978.7841647500001,1471.65
8.044305,0.0075898217,0.8265631943941116,716800,1595.7473676204681,422,716800,350,-0.0060940827,0.0915039,3.6382298,965.2818373700002,1454.04
13.142596,0.002829947,0.7720584273338318,718848,1600.5922746658325,432,718848,351,-0.004467531,0.029882813,3.6594555,963.61941348,1454.04
20.228897,0.0046985485,0.8238866031169891,720896,1605.3279139995575,423,720896,352,-0.0071341186,0.058300782,3.6702104,964.1056449800002,1454.58
11.574441,0.005329938,0.7963565438985825,722944,1610.1636888980865,424,722944,353,-0.0043198904,0.05859375,3.6770077,963.5023845900001,1454.58
14.473513,0.0041869516,0.7904227077960968,724992,1614.984828710556,420,724992,354,-0.0053407745,0.047607422,3.6747901,965.2549503300002,1454.58
13.202701,0.002471891,0.795122042298317,727040,1619.8547730445862,416,727040,355,-0.0017942556,0.023535157,3.6636825,979.58683728,1472.63
12.802958,0.0025859822,0.8741448521614075,729088,1624.7780475616455,411,729088,356,-0.000778481,0.023730468,3.6520352,980.9573912300001,1473.94
8.922125,0.0053947256,0.8494042158126831,731136,1629.7504007816315,432,731136,357,-0.008321714,0.06591797,3.6564438,981.10970581,1473.94
9.81479,0.0035920958,0.8759133666753769,733184,1634.4855470657349,421,733184,358,-0.0028549316,0.04296875,3.6691723,967.56550193,1456.63
14.147408,0.005095057,0.7766151428222656,735232,1639.3468751907349,409,735232,359,-0.002475549,0.058984376,3.6671333,981.45613946,1474.55
