policy_loss,value_loss,explained_variance,time_elapsed,clipfrac,ep_len_mean,approxkl,ep_reward_mean,policy_entropy,fps,n_updates,total_timesteps,serial_timesteps
-0.0037177496,10.235971,0.8288165926933289,653.3827753067017,0.05517578,797.53,0.004617923,386.68190334999997,1.6455042,507,156,319488,319488
-0.005167805,7.439479,0.869999885559082,657.4179730415344,0.052490234,765.87,0.0044066804,372.01015192000006,1.6695387,511,157,321536,321536
-0.0034269267,8.89858,0.8580842614173889,661.4222500324249,0.041650392,714.54,0.004343572,349.87716262999993,1.6851242,509,158,323584,323584
-0.004687468,12.503884,0.7791509181261063,665.4452774524689,0.04536133,661.65,0.004182075,325.13390035,1.6941677,509,159,325632,325632
-0.006518482,8.176466,0.8708123117685318,669.4665806293488,0.051953126,616.34,0.004252297,303.92856152,1.7197797,452,160,327680,327680
-0.007481215,8.756903,0.8614334613084793,673.9979484081268,0.049707033,593.87,0.0044525145,293.38344589,1.7405173,491,161,329728,329728
-0.00065492076,9.060351,0.8455042988061905,678.1610903739929,0.042675782,590.55,0.003828133,292.98499717,1.7411817,506,162,331776,331776
-0.0032275568,9.096491,0.8680306375026703,682.2013022899628,0.04814453,585.49,0.003976023,291.47958476,1.7475256,508,163,333824,333824
-0.0030977228,3.574636,0.9459165744483471,686.2289545536041,0.04248047,580.44,0.0038966641,289.30655564,1.757411,518,164,335872,335872
-0.005835482,9.903304,0.8754902631044388,690.1800503730774,0.07138672,582.76,0.0059365476,292.90880225,1.7632742,501,165,337920,337920
-0.0014655121,8.779265,0.8242988586425781,694.2611651420593,0.031298827,583.43,0.0029707183,293.77571341000004,1.7693388,502,166,339968,339968
-0.0030426462,7.839522,0.8995164558291435,698.3334746360779,0.040478516,580.92,0.0036506397,293.10161308,1.769009,499,167,342016,342016
-0.0014217717,6.526801,0.9076638221740723,702.4370582103729,0.033251952,586.6,0.0030835222,296.98622458,1.77195,506,168,344064,344064
-0.0012720075,1.787483,0.9755374118685722,706.4790105819702,0.03178711,588.08,0.0029133551,298.53720885999996,1.782226,483,169,346112,346112
-0.0026632021,15.265123,0.8181664496660233,710.7152235507965,0.02709961,586.53,0.0029349076,298.46805143999995,1.7954289,510,170,348160,348160
-0.0042913086,7.2715826,0.9016462489962578,714.7309675216675,0.044677734,582.3,0.004277181,296.54043800000005,1.7971369,493,171,350208,350208
-0.0032630726,17.93597,0.791076123714447,718.8788640499115,0.02055664,579.38,0.0025186422,294.97224924,1.7972018,478,172,352256,352256
-0.0033234567,2.5859606,0.9635771550238132,723.1594159603119,0.04511719,585.4,0.0043222113,298.64749500999994,1.7849557,485,173,354304,354304
-0.0046463953,11.711653,0.8820691481232643,727.3819227218628,0.055664062,575.9,0.004614827,294.29764278,1.7808876,496,174,356352,356352
-0.005056143,9.899039,0.8987255319952965,731.5069348812103,0.05961914,570.38,0.004862319,291.53938068,1.7962347,512,175,358400,358400
-0.005586899,16.653461,0.7660512626171112,735.5078465938568,0.07353516,561.73,0.005689769,286.57782098,1.8163078,500,176,360448,360448
-0.0010186605,5.719333,0.9272617846727371,739.5973646640778,0.022509765,558.05,0.0025000856,284.48584048,1.8108747,504,177,362496,362496
-0.0043552853,6.784353,0.9185308367013931,743.6556453704834,0.054980468,549.61,0.004612257,280.51495994,1.7977545,506,178,364544,364544
-0.002934528,11.185306,0.8745638579130173,747.6982390880585,0.04711914,550.96,0.004183431,281.6982586799999,1.7929852,487,179,366592,366592
-0.0032931257,9.967433,0.8443788886070251,751.9012122154236,0.047802735,550.93,0.004204887,282.1340698,1.7945149,476,180,368640,368640
-0.0009714154,5.055677,0.945499625056982,756.1980588436127,0.03955078,547.0,0.0035745322,280.92865668999997,1.7979906,492,181,370688,370688
-0.00077066233,13.768336,0.8231796771287918,760.3567304611206,0.05180664,536.29,0.004796946,275.29980620999993,1.7881867,517,182,372736,372736
-0.0053792126,7.737382,0.9077170565724373,764.3116931915283,0.041650392,533.96,0.0038980343,273.97394975,1.7906259,498,183,374784,374784
-0.005263913,10.113955,0.887737900018692,768.4167866706848,0.053369142,526.83,0.004562217,270.24218197000005,1.797445,505,184,376832,376832
-0.0027334848,9.458392,0.9115297794342041,772.4668252468109,0.024267578,523.42,0.002658169,269.23926634,1.796022,490,185,378880,378880
-0.004340033,11.582448,0.8482657670974731,776.6400437355042,0.06318359,523.62,0.0052706227,269.43836811,1.7806638,498,186,380928,380928
-0.0031934443,16.857855,0.7754013389348984,780.746659040451,0.042041015,514.79,0.003941578,264.74724729999997,1.7772381,505,187,382976,382976
-0.0025298835,9.368347,0.8891230374574661,784.7965321540833,0.04169922,506.3,0.0039451425,260.72751458999994,1.7732004,515,188,385024,385024
-0.00203717,15.199686,0.7867321074008942,788.7678875923157,0.054003906,498.32,0.0044169673,256.98778275000006,1.7764667,492,189,387072,387072
-0.00020470451,14.734738,0.7803774923086166,792.928564786911,0.04453125,492.86,0.004259248,253.86209267000007,1.7906091,495,190,389120,389120
-0.0031959233,15.689839,0.8243475258350372,797.0618488788605,0.04033203,482.01,0.0035935878,248.66081548000002,1.7926674,499,191,391168,391168
