ep_reward_mean,n_updates,serial_timesteps,ep_len_mean,value_loss,explained_variance,fps,approxkl,total_timesteps,policy_loss,policy_entropy,clipfrac,time_elapsed
1639.1272283400003,158,323584,1652.0,17.590693,0.2562691569328308,423,0.0040499046,323584,-0.003998606,4.205531,0.04824219,824.1862509250641
1639.2414676100004,159,325632,1652.0,19.610336,0.04624152183532715,413,0.0027774558,325632,-0.0020520254,4.2059984,0.027050782,829.0275912284851
1607.3141819800003,160,327680,1620.05,28.45014,0.8601798266172409,298,0.0015500064,327680,-0.0033872921,4.206203,0.0125488285,833.9851455688477
1600.98601862,161,329728,1613.85,0.9481942,0.9876489983871579,217,0.0020802938,329728,-0.0043774843,4.2134748,0.018554688,840.8514068126678
1600.7227365400001,162,331776,1613.85,16.90231,0.24359381198883057,441,0.0031922697,331776,-0.0024589768,4.2132416,0.031445313,850.2828598022461
1600.5367030000002,163,333824,1613.85,19.54874,0.039346396923065186,429,0.0017197623,333824,-0.00096549105,4.2084627,0.012304688,854.9239046573639
1600.55554544,164,335872,1613.85,20.20847,-0.014775395393371582,425,0.0032970235,335872,-0.0018076878,4.2103257,0.037841797,859.6977944374084
1592.9798215500005,165,337920,1606.47,2.948342,0.9769079517573118,423,0.0020442759,337920,-0.006090501,4.224208,0.022851562,864.5113215446472
1612.25690311,166,339968,1625.8,23.097498,0.7330053150653839,420,0.0013823311,339968,-0.0008781737,4.2333484,0.006298828,869.3495149612427
1608.8046186,167,342016,1622.64,0.015889259,0.9996513459191192,411,0.003351383,342016,-0.0059016994,4.2171583,0.032177735,874.2258989810944
1608.7559710299997,168,344064,1622.64,19.455616,0.01280200481414795,432,0.0040342347,344064,-0.002749829,4.203534,0.045996092,879.1991159915924
1608.7154242100003,169,346112,1622.64,19.72504,-0.0006221532821655273,407,0.0064194044,346112,-0.0036151926,4.191708,0.08525391,883.938916683197
1608.7014397500002,170,348160,1622.64,19.69458,0.011436998844146729,432,0.0026420704,348160,-0.0022065775,4.182248,0.019384766,888.969749212265
1608.7168452900003,171,350208,1622.64,19.990917,0.008193552494049072,408,0.0054842057,350208,-0.00308154,4.182475,0.070410155,893.7102324962616
1608.5859733300003,172,352256,1622.64,18.708368,0.08597862720489502,406,0.0068873093,352256,-0.0053139823,4.1783743,0.087841794,898.7286522388458
1627.5426525700002,173,354304,1641.87,18.227371,0.13540327548980713,394,0.0028559053,354304,-0.0028424505,4.1730094,0.02626953,903.7704153060913
1627.5652403000004,174,356352,1641.87,19.692694,0.027819275856018066,410,0.0057961727,356352,-0.0046109674,4.1670933,0.07163086,908.9561905860901
1627.5996126500002,175,358400,1641.87,20.06742,0.004135012626647949,416,0.0031917566,358400,-0.0021744487,4.1631155,0.030664062,913.9438965320587
1627.2291437900003,176,360448,1641.39,24.894579,0.6398058831691742,391,0.0015996431,360448,-0.0007861741,4.1738544,0.014111328,918.8693215847015
1626.7338596000002,177,362496,1640.84,23.42429,0.7658432275056839,389,0.0023130318,362496,-0.0011849947,4.190547,0.025341798,924.1017956733704
1626.7082706200003,178,364544,1640.84,19.813887,0.040241122245788574,389,0.0029134029,364544,-0.0020940492,4.2097335,0.028466797,929.3652992248535
1626.73195998,179,366592,1640.84,19.986273,0.0017985105514526367,419,0.0055367993,366592,-0.0010523808,4.208581,0.06352539,934.6185572147369
1629.81796025,180,368640,1644.0,25.296696,0.7078128159046173,295,0.0030104998,368640,-0.0068904245,4.205491,0.03125,939.4956593513489
1629.52561081,181,370688,1644.0,16.250387,0.49140793085098267,425,0.0025205398,370688,0.00020576327,4.2021055,0.025,946.4334003925323
1629.59459237,182,372736,1644.0,20.373077,-0.010640859603881836,408,0.0020634036,372736,-0.0006269601,4.1985874,0.015332031,951.2467613220215
1648.2712114699998,183,374784,1662.77,19.835745,0.008476674556732178,412,0.003689949,374784,-0.0013399224,4.195905,0.040039062,956.2615315914154
1648.2256258499997,184,376832,1662.77,18.48843,0.14681243896484375,417,0.0031827558,376832,-0.0012447886,4.187227,0.034765624,961.2254848480225
