policy_loss,n_updates,time_elapsed,policy_entropy,ep_reward_mean,explained_variance,clipfrac,total_timesteps,value_loss,ep_len_mean,serial_timesteps,fps,approxkl
-0.0071734516,122,539.8694689273834,3.9513824,895.68290094,0.8526874780654907,0.04458008,249856,10.633157,1327.18,249856,466,0.0038040918
-0.0061132438,123,544.2595906257629,3.9460735,891.0454126799999,0.9354266673326492,0.038623046,251904,9.223655,1327.18,251904,418,0.0038970076
-0.005340625,124,549.1570901870728,3.951624,882.4084725,0.861450657248497,0.03730469,253952,26.20581,1312.11,253952,439,0.0034795231
-0.0032775581,125,553.8197908401489,3.9488513,892.0238389500003,0.7691050171852112,0.06254883,256000,10.08076,1326.52,256000,455,0.0052108564
-0.0028662053,126,558.3147702217102,3.9461086,902.84217567,0.7817030102014542,0.038378906,258048,12.409975,1342.58,258048,452,0.0032422398
-0.002499805,127,562.8441197872162,3.9435635,908.09669056,0.8781919181346893,0.03359375,260096,18.8097,1342.58,260096,433,0.0033565736
-0.00363619,128,567.5738303661346,3.9371696,908.7196901799999,0.7016052007675171,0.04526367,262144,14.022226,1342.58,262144,461,0.0036959075
-0.001241133,129,572.0076034069061,3.9468048,909.7203863399998,0.7227597832679749,0.028125,264192,11.634559,1342.58,264192,466,0.002602071
-0.005071154,130,576.3995938301086,3.9468913,909.8431726999999,0.8493757098913193,0.035986327,266240,10.242071,1344.7,266240,471,0.003494321
-0.001499673,131,580.7443459033966,3.9442573,912.7590000499999,0.8339727967977524,0.014013672,268288,19.69361,1344.7,268288,455,0.0016531196
-0.0020922953,132,585.2439699172974,3.9384036,923.6974515,0.7730749547481537,0.012939453,270336,18.403088,1359.26,270336,471,0.0014600419
-0.0026969644,133,589.5836606025696,3.9273734,924.31641713,0.8443323969841003,0.04663086,272384,19.204449,1359.26,272384,444,0.0040386613
-0.0033785712,134,594.1921260356903,3.912119,934.94954048,0.8886892050504684,0.0203125,274432,11.670351,1372.38,274432,457,0.0020635303
