total_timesteps,policy_entropy,policy_loss,approxkl,n_updates,serial_timesteps,ep_reward_mean,ep_len_mean,time_elapsed,explained_variance,clipfrac,fps,value_loss
348160,2.7855318,-0.0028199446,0.0037647332,170,348160,843.18602917,1281.79,718.9663393497467,0.9419705010950565,0.04169922,482,7.9158907
350208,2.795099,-0.0045624254,0.005243599,171,350208,833.45010841,1267.6,723.2071039676666,0.869639441370964,0.0647461,475,21.00211
352256,2.8242574,-0.005513231,0.0045654625,172,352256,800.1314403700001,1219.35,727.5147309303284,0.9160217866301537,0.054638673,475,15.37545
354304,2.8466616,-0.002995571,0.003829283,173,354304,781.43306813,1194.11,731.8224430084229,0.6521510183811188,0.043652344,492,28.660645
356352,2.8546977,-0.005072621,0.0033354945,174,356352,772.9342190800002,1181.41,735.9815335273743,0.9217151030898094,0.035595704,467,9.984111
358400,2.8577251,-0.0022883806,0.0030513722,175,358400,768.79909803,1174.49,740.3594446182251,0.8409343957901001,0.03046875,475,22.36028
360448,2.8668137,-0.0039199577,0.005888742,176,360448,740.4832456800002,1138.54,744.666708946228,0.8376436829566956,0.06889649,464,18.823763
362496,2.8730204,-0.0045313677,0.0069189877,177,362496,737.7350812600002,1138.54,749.079393863678,0.7732426077127457,0.085839845,463,8.983368
364544,2.8723557,-0.002668548,0.0031648097,178,364544,677.67820217,1055.57,753.5004596710205,0.608805388212204,0.035058595,457,28.08472
366592,2.8779366,-0.004975928,0.0038271553,179,366592,665.66984523,1039.26,757.97913646698,0.9732771124690771,0.043115236,440,1.7190878
368640,2.885699,-0.0060355896,0.004499699,180,368640,651.1714671799999,1019.05,762.630156993866,0.8375837802886963,0.054589845,480,15.982448
370688,2.895389,-0.0037006517,0.0063899443,181,370688,650.02885829,1019.05,766.8965365886688,0.7858068645000458,0.07915039,449,10.147373
372736,2.8919668,-0.0020299149,0.0044979244,182,372736,649.53269021,1019.05,771.4577269554138,0.7589760273694992,0.050097656,467,10.9506035
374784,2.891018,-0.0018355679,0.0024244138,183,374784,663.0405195000001,1037.09,775.835512638092,0.830794483423233,0.023535157,466,12.940639
376832,2.892223,-0.00513543,0.0034434502,184,376832,650.0094776000001,1019.26,780.224038362503,0.8726973086595535,0.036865234,481,15.203708
378880,2.8954272,-0.0027528435,0.004428723,185,378880,644.5456977500002,1012.06,784.4776055812836,0.9218346998095512,0.051367186,466,6.513982
380928,2.903171,-0.0046927165,0.0045240973,186,380928,619.71052264,976.06,788.869060754776,0.8823052793741226,0.04448242,440,20.74641
382976,2.9125206,-0.005082307,0.0060097687,187,382976,615.5674778499999,971.07,793.5203700065613,0.8577285408973694,0.07539062,482,12.289558
385024,2.9259834,-0.004126247,0.0058521116,188,385024,606.56605575,961.04,797.7661845684052,0.8670574128627777,0.07055664,463,15.945433
387072,2.9349103,-0.004679497,0.004956945,189,387072,618.53259826,979.02,802.1888711452484,0.7808535248041153,0.05649414,468,13.908338
389120,2.9330964,-0.003992011,0.0039350754,190,389120,619.65769164,981.48,806.5599973201752,0.9435775429010391,0.047167968,479,4.7375
391168,2.926132,-0.0020712058,0.0032542653,191,391168,617.63538198,980.24,810.830367565155,0.8509889245033264,0.032714844,455,18.66665
