serial_timesteps,value_loss,ep_reward_mean,policy_loss,approxkl,ep_len_mean,total_timesteps,n_updates,time_elapsed,clipfrac,policy_entropy,fps,explained_variance
333824,4.8159795,323.66118882,-0.0024083373,0.0034215197,654.66,333824,163,557.4933483600616,0.037109375,1.6430401,604,0.8822742477059364
335872,6.3281894,334.13984538000005,-0.0017917119,0.0048889136,672.59,335872,164,560.8795416355133,0.053515624,1.6422703,600,0.8513576686382294
337920,5.655758,337.9565984,-0.0023570133,0.007479182,678.69,337920,165,564.2921004295349,0.0793457,1.6417576,602,0.9088893234729767
339968,1.9807615,342.86285082999996,-0.0029508392,0.005580073,687.16,339968,166,567.6942076683044,0.06547852,1.6442229,602,0.9595965407788754
342016,7.18602,350.7746846799999,-0.0020148307,0.005449303,701.18,342016,167,571.0921120643616,0.057958983,1.6476465,590,0.5550319254398346
344064,1.1692609,353.1554775199999,-0.0025961485,0.004933932,705.1,344064,168,574.5583469867706,0.059570312,1.6495491,575,0.9788356423377991
346112,2.7523584,356.24703681,-0.0019378385,0.0034751561,710.07,346112,169,578.1189234256744,0.035107423,1.6425769,576,0.9491705484688282
348160,6.3205724,365.15578637,-0.0007681332,0.004013468,723.89,348160,170,581.6695373058319,0.04501953,1.63679,609,0.8047018796205521
350208,6.8330812,371.92779346,-0.0038760584,0.0063127456,734.97,350208,171,585.032454252243,0.06738281,1.6393511,592,0.809502124786377
352256,2.204179,373.4937612599999,-0.0031590604,0.004893468,737.32,352256,172,588.488178730011,0.05180664,1.6227608,599,0.9519679173827171
354304,7.7335677,385.22301833999995,-0.000983027,0.0028876637,755.22,354304,173,591.9067873954773,0.025097657,1.6059978,592,0.8811605423688889
356352,3.8570347,384.17111843000004,-0.0006364197,0.0049220407,752.39,356352,174,595.3662624359131,0.056884766,1.6032625,585,0.948057733476162
358400,3.2765784,384.2912964800001,-0.00061143877,0.0059730695,751.71,358400,175,598.8653824329376,0.0640625,1.6044133,597,0.9390221536159515
360448,6.0362577,388.9987244400001,-0.003651178,0.0034315498,759.07,360448,176,602.2954123020172,0.0375,1.6033688,571,0.9025411531329155
362496,7.4615912,393.20468472,-7.358758e-05,0.004377309,765.79,362496,177,605.8791174888611,0.049560547,1.6027756,560,0.8781739696860313
364544,8.464228,403.15076877,-0.0036987471,0.009514756,781.6,364544,178,609.5336396694183,0.10668945,1.59467,584,0.7217976152896881
366592,9.739424,412.01039314999997,0.0001699714,0.005634176,796.49,366592,179,613.0363011360168,0.061621092,1.5870936,608,0.6824579536914825
368640,8.012322,420.43444644000004,0.0002792682,0.005560654,810.37,368640,180,616.4048407077789,0.06455078,1.5715944,583,0.709169328212738
370688,1.933514,426.7640281300001,-0.0034337912,0.003111101,820.22,370688,181,619.9152200222015,0.034179688,1.5693172,599,0.9431376159191132
372736,6.971656,435.04640907,-0.00080826395,0.005356451,834.01,372736,182,623.332277059555,0.064013675,1.5718957,607,0.753710150718689
374784,6.6979537,442.84185225999994,-0.0009761284,0.0057827085,846.12,374784,183,626.7062802314758,0.06743164,1.5734094,590,0.7647412866353989
376832,6.509919,451.3955413299999,-0.004714814,0.009186678,860.04,376832,184,630.1755261421204,0.1105957,1.5833871,599,0.7496134042739868
378880,8.142704,460.43160075,-0.0031962297,0.0045823073,874.97,378880,185,633.5898711681366,0.053222656,1.5820042,582,0.7156959772109985
380928,9.454301,470.6311048999999,-0.0005633375,0.004802166,890.74,380928,186,637.1044673919678,0.051757812,1.5809569,573,0.7015514969825745
382976,7.444494,480.38394963999997,-0.0011115209,0.005687256,906.58,382976,187,640.6752197742462,0.06762695,1.5702045,599,0.7093293368816376
385024,9.261442,488.43102632,-0.0023535076,0.005195702,918.9,385024,188,644.091744184494,0.047314454,1.5661786,606,0.7920594215393066
387072,9.326507,492.98925877999994,-0.0036999763,0.0060492763,926.17,387072,189,647.470134973526,0.070458986,1.5846456,591,0.7569737285375595
